QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
524911,Entertainment & Pop Culture,OTT Platforms,Medium,900,Which OTT platform is known for its original content such as 'Stranger Things' and 'The Crown'?,Amazon Prime Video,Netflix,Disney+,Hulu,Netflix
524911,Entertainment & Pop Culture,OTT Platforms,Medium,900,Which of the following OTT platforms offers a free trial period for its new subscribers?,HBO Max,Disney+,Apple TV+,All of the above,All of the above
524911,Entertainment & Pop Culture,OTT Platforms,Medium,900,What is the name of the OTT platform owned by WarnerMedia?,Netflix,Amazon Prime Video,HBO Max,Disney+,HBO Max
524911,Entertainment & Pop Culture,OTT Platforms,Medium,900,Which OTT platform is focused on providing content for children and families?,Netflix,Amazon Prime Video,Paramount+,PBS Kids,PBS Kids
524911,Entertainment & Pop Culture,OTT Platforms,Medium,900,Which of the following OTT platforms is known for its live TV streaming service?,Sling TV,YouTube TV,Hulu,All of the above,All of the above
524911,Entertainment & Pop Culture,OTT Platforms,Medium,900,Which OTT platform is owned by The Walt Disney Company?,Netflix,Amazon Prime Video,HBO Max,Disney+,Disney+
524911,Entertainment & Pop Culture,OTT Platforms,Medium,900,"What is the name of the OTT platform that offers a wide range of TV shows, movies, and original content, including 'The Office' and 'Friends'?",Hulu,Netflix,Amazon Prime Video,Peacock,Peacock
524911,Entertainment & Pop Culture,OTT Platforms,Medium,900,Which OTT platform is focused on providing sports content?,DAZN,ESPN+,Netflix,Both A and B,Both A and B
524911,Entertainment & Pop Culture,OTT Platforms,Medium,900,"Which of the following OTT platforms offers a range of add-on channels, including HBO and Showtime?",Amazon Prime Video,Netflix,Hulu,All of the above,Amazon Prime Video
524911,Entertainment & Pop Culture,OTT Platforms,Medium,900,"Which OTT platform is known for its original content, including 'The Grand Tour' and 'The Marvelous Mrs. Maisel'?",Netflix,Amazon Prime Video,HBO Max,Disney+,Amazon Prime Video
