QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
281489,Science & Innovation,Space Science,Easy,600,What is the largest planet in our solar system?,Earth,Saturn,Jupiter,Uranus,Jupiter
281489,Science & Innovation,Space Science,Easy,600,Which planet is closest to the Sun?,Mercury,Venus,Earth,Mars,Mercury
281489,Science & Innovation,Space Science,Easy,600,What is the farthest human-made object from Earth?,The Moon,The International Space Station,Voyager 1,The Hubble Space Telescope,Voyager 1
281489,Science & Innovation,Space Science,Easy,600,Which space agency is known for its Mars rovers?,European Space Agency,NASA,Russian Space Agency,Chinese National Space Administration,NASA
281489,Science & Innovation,Space Science,Easy,600,What is the process by which stars like our Sun generate energy?,Nuclear Fission,Radioactive Decay,Gravitational Contraction,Nuclear Fusion,Nuclear Fusion
281489,Science & Innovation,Space Science,Easy,600,What is the term for a star that has exploded?,Black Hole,Nebula,Supernova,Galaxy,Supernova
281489,Science & Innovation,Space Science,Easy,600,Which planet is known for its ring system?,Jupiter,Saturn,Uranus,Neptune,Saturn
281489,Science & Innovation,Space Science,Easy,600,What is the largest moon in our solar system?,Ganymede,Titan,Callisto,Io,Ganymede
281489,Science & Innovation,Space Science,Easy,600,Who was the first person to walk on the Moon?,Buzz Aldrin,Neil Armstrong,John Glenn,Alan Shepard,Neil Armstrong
281489,Science & Innovation,Space Science,Easy,600,What is the term for a celestial body that orbits a planet?,Asteroid,Comet,Moon,Meteor,Moon
