quiz_id,category,title,level,num_questions,duration_seconds,question_order,question_text,options_json,correct_answer,created_at
77848,Academic & Education,Hindi Quiz testing,easy,5,480,1,भारत की राजधानी क्या है?,"[""\u092e\u0941\u0902\u092c\u0908"", ""\u0915\u094b\u0932\u0915\u093e\u0924\u093e"", ""\u0928\u0908 \u0926\u093f\u0932\u094d\u0932\u0940"", ""\u091a\u0947\u0928\u094d\u0928\u0908""]",नई दिल्ली,2025-12-24T10:45:07.984657+00:00
77848,Academic & Education,Hindi Quiz testing,easy,5,480,2,एक सप्ताह में कितने दिन होते हैं?,"[""\u0926\u0938"", ""\u0938\u093e\u0924"", ""\u092c\u093e\u0930\u0939"", ""\u092a\u093e\u0901\u091a""]",सात,2025-12-24T10:45:07.984657+00:00
77848,Academic & Education,Hindi Quiz testing,easy,5,480,3,हिंदी भाषा किस लिपि में लिखी जाती है?,"[""\u0917\u0941\u0930\u0941\u092e\u0941\u0916\u0940"", ""\u0930\u094b\u092e\u0928"", ""\u0926\u0947\u0935\u0928\u093e\u0917\u0930\u0940"", ""\u092b\u093e\u0930\u0938\u0940""]",देवनागरी,2025-12-24T10:45:07.984657+00:00
77848,Academic & Education,Hindi Quiz testing,easy,5,480,4,'रोशनी का त्योहार' किस पर्व को कहा जाता है?,"[""\u0939\u094b\u0932\u0940"", ""\u0930\u0915\u094d\u0937\u093e \u092c\u0902\u0927\u0928"", ""\u0908\u0926"", ""\u0926\u093f\u0935\u093e\u0932\u0940""]",दिवाली,2025-12-24T10:45:07.984657+00:00
77848,Academic & Education,Hindi Quiz testing,easy,5,480,5,हमारे दोनों हाथों की कुल कितनी उंगलियां होती हैं?,"[""\u0906\u0920"", ""\u0926\u0938"", ""\u092c\u093e\u0930\u0939"", ""\u092a\u093e\u0901\u091a""]",दस,2025-12-24T10:45:07.984657+00:00
96912,General Knowledge,Another language trying ,easy,4,300,1,Was ist das Nationaltier Indiens?,"[""L\u00f6we"", ""Tiger"", ""Elefant"", ""Kuh""]",Tiger,2025-12-24T11:07:32.408252+00:00
96912,General Knowledge,Another language trying ,easy,4,300,2,Welches Fest ist in Indien als 'Lichterfest' bekannt?,"[""Holi"", ""Diwali"", ""Eid"", ""Poonam""]",Diwali,2025-12-24T11:07:32.408252+00:00
96912,General Knowledge,Another language trying ,easy,4,300,3,Was ist die Hauptstadt Indiens?,"[""Mumbai"", ""Neu-Delhi"", ""Kolkata"", ""Chennai""]",Neu-Delhi,2025-12-24T11:07:32.408252+00:00
96912,General Knowledge,Another language trying ,easy,4,300,4,Was ist die offizielle Währung Indiens?,"[""Dollar"", ""Yen"", ""Euro"", ""Rupie""]",Rupie,2025-12-24T11:07:32.408252+00:00
49968,Competitive Exams,NEw quiz on different lang,easy,5,600,1,"Quel monument célèbre, construit en marbre blanc, est situé dans la ville d'Agra en Inde?","[""Le Taj Mahal"", ""Le Qutub Minar"", ""Le Fort Rouge"", ""Le Hawa Mahal""]",Le Taj Mahal,2025-12-26T14:58:18.112599+00:00
49968,Competitive Exams,NEw quiz on different lang,easy,5,600,2,"Quel est le sport national le plus suivi et célébré en Inde, avec des ligues populaires comme l'IPL?","[""Le Cricket"", ""Le Football"", ""Le Kabaddi"", ""Le Hockey sur gazon""]",Le Cricket,2025-12-26T14:58:18.112599+00:00
49968,Competitive Exams,NEw quiz on different lang,easy,5,600,3,Quelle ville indienne est la capitale nationale et le siège du gouvernement central de l'Inde?,"[""New Delhi"", ""Mumbai"", ""Bangalore"", ""Chennai""]",New Delhi,2025-12-26T14:58:18.112599+00:00
49968,Competitive Exams,NEw quiz on different lang,easy,5,600,4,"Comment appelle-t-on le grand festival indien, célébré avec des lampes (diyas) et des feux d'artifice, connu sous le nom de «Festival des Lumières»?","[""Diwali"", ""Holi"", ""Durga Puja"", ""Onam""]",Diwali,2025-12-26T14:58:18.112599+00:00
49968,Competitive Exams,NEw quiz on different lang,easy,5,600,5,Quelle est l'unité monétaire officielle utilisée en Inde?,"[""La Roupie Indienne"", ""Le Dollar"", ""L'Euro"", ""Le Yen""]",La Roupie Indienne,2025-12-26T14:58:18.112599+00:00
