QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
928059,Competitive Exams,Management Entrance Exams,Medium,900,Which of the following is a key principle of effective management?,Lack of delegation,Centralized decision making,Effective communication,Micromanagement,OptionC
928059,Competitive Exams,Management Entrance Exams,Medium,900,What does SWOT analysis stand for?,"Strengths, Weaknesses, Opportunities, Threats",Strategic Work Order Timing,Scientific Workflow Optimization Technique,"Standards, Work, Objectives, Targets",OptionA
928059,Competitive Exams,Management Entrance Exams,Medium,900,"In Maslow's hierarchy of needs, which need is considered the highest level?",Self-actualization,Safety needs,Social belonging,Physiological needs,OptionA
928059,Competitive Exams,Management Entrance Exams,Medium,900,Which of the following is a financial management term?,Brand equity,Operational efficiency,Capital budgeting,Team building,OptionC
928059,Competitive Exams,Management Entrance Exams,Medium,900,What is the primary function of Human Resource Management?,Increasing company sales,Managing financial accounts,Recruiting and managing employees,Designing new products,OptionC
928059,Competitive Exams,Management Entrance Exams,Medium,900,Which budgeting technique involves every expense requiring justification?,Incremental budgeting,Zero-based budgeting,Activity-based budgeting,Flexible budgeting,OptionB
928059,Competitive Exams,Management Entrance Exams,Medium,900,What is Six Sigma primarily focused on?,Improving financial statements,Reducing defects and variability in processes,Employee motivation techniques,Increasing marketing outreach,OptionB
928059,Competitive Exams,Management Entrance Exams,Medium,900,"In decision making, the term 'opportunity cost' refers to:",The cost of adopting a low-risk strategy,The benefit of the best alternative forgone,The loss incurred by bad decisions,The financial cost of operational expenses,OptionB
928059,Competitive Exams,Management Entrance Exams,Medium,900,Which leadership style involves collaboration and empowerment?,Autocratic,Democratic,Transactional,Authoritarian,OptionB
928059,Competitive Exams,Management Entrance Exams,Medium,900,What is the primary focus of operations management?,Designing advertising campaigns,Managing resources for production and delivery,Recruiting new employees,Strategizing for company growth,OptionB
