QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
406806,Science & Innovation,Future Technologies,Medium,900,What is the primary purpose of Quantum Computing?,To enhance data storage capacity,To solve complex problems that are beyond the capabilities of classical computers,To improve internet connectivity,To reduce the size of electronic devices,To solve complex problems that are beyond the capabilities of classical computers
406806,Science & Innovation,Future Technologies,Medium,900,Which technology is being developed to enable machines to interpret and understand visual data from the world?,Natural Language Processing,Computer Vision,Robotics,Expert Systems,Computer Vision
406806,Science & Innovation,Future Technologies,Medium,900,"What is the term for the network of physical devices, vehicles, and other items embedded with sensors, software, and connectivity?",Internet of Things (IoT),Artificial Intelligence (AI),Machine Learning (ML),Cloud Computing,Internet of Things (IoT)
406806,Science & Innovation,Future Technologies,Medium,900,Which type of battery is being researched for its potential to significantly improve the range and efficiency of electric vehicles?,Lithium-Ion,Sodium-Ion,Solid-State,Lead-Acid,Solid-State
406806,Science & Innovation,Future Technologies,Medium,900,What is the name of the technology that involves the use of synthetic materials to mimic the properties of living tissues?,Biomimicry,Tissue Engineering,Prosthetics,Bionics,Biomimicry
406806,Science & Innovation,Future Technologies,Medium,900,Which future technology is expected to revolutionize the field of medicine by allowing for the precise editing of genes?,CRISPR-Cas9 Gene Editing,RNA Interference (RNAi),Gene Therapy,DNA Sequencing,CRISPR-Cas9 Gene Editing
406806,Science & Innovation,Future Technologies,Medium,900,What is the term for a hypothetical future point in time when technological advancements become so rapid and profound that they transform human civilization beyond recognition?,Technological Singularity,Artificial General Intelligence,Exponential Growth,Digital Revolution,Technological Singularity
406806,Science & Innovation,Future Technologies,Medium,900,Which technology involves the use of virtual reality to create immersive experiences that simulate real-world environments?,Augmented Reality (AR),Virtual Reality (VR),Mixed Reality (MR),Extended Reality (XR),Virtual Reality (VR)
406806,Science & Innovation,Future Technologies,Medium,900,What is the name of the technology that allows for the creation of three-dimensional objects from digital designs by layering materials?,3D Printing,CNC Machining,Laser Cutting,Injection Molding,3D Printing
406806,Science & Innovation,Future Technologies,Medium,900,Which of the following is a potential application of Brain-Computer Interfaces (BCIs)?,Controlling electronic devices with thoughts,Enhancing memory and cognitive abilities,Restoring vision in blind individuals,All of the above,All of the above
