QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
371051,Science & Innovation,Chemistry,Easy,600,What is the symbol for gold on the periodic table?,Ag,Au,Hg,Pb,OptionB
371051,Science & Innovation,Chemistry,Easy,600,Which type of bond involves the sharing of electron pairs between atoms?,Ionic bond,Covalent bond,Hydrogen bond,Electrostatic bond,OptionB
371051,Science & Innovation,Chemistry,Easy,600,What is the pH of a neutral solution?,0,7,14,10,OptionB
371051,Science & Innovation,Chemistry,Easy,600,What is the process called when a solid changes directly to a gas?,Melting,Boiling,Sublimation,Deposition,OptionC
371051,Science & Innovation,Chemistry,Easy,600,Which element has the atomic number 1?,Helium,Hydrogen,Oxygen,Nitrogen,OptionB
371051,Science & Innovation,Chemistry,Easy,600,What is the term for the minimum amount of energy required for a chemical reaction to occur?,Activation Energy,Reaction Rate,Catalyst,Equilibrium,OptionA
371051,Science & Innovation,Chemistry,Easy,600,Which of the following is an example of a chemical change?,Melting of ice,Boiling of water,Burning of wood,Dissolving sugar in water,OptionC
371051,Science & Innovation,Chemistry,Easy,600,What is the chemical symbol for water?,H2O,CO2,O2,N2,OptionA
371051,Science & Innovation,Chemistry,Easy,600,What type of reaction involves the combination of two or more substances to form a new compound?,Decomposition reaction,Synthesis reaction,Replacement reaction,Combustion reaction,OptionB
371051,Science & Innovation,Chemistry,Easy,600,Which scientist is credited with the development of the periodic table?,Dmitri Mendeleev,Albert Einstein,Marie Curie,Isaac Newton,OptionA
