QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
362891,Gaming,Mobile Games,Easy,600,What is the name of the popular mobile game where you swipe to match candies?,Candy Crush Saga,Puzzle & Dragons,Fruit Ninja,Toon Blast,A
362891,Gaming,Mobile Games,Easy,600,Which mobile game is known for its '2048' tile goal?,Threes!,2048,Drop7,Tetris,B
362891,Gaming,Mobile Games,Easy,600,What is the name of the mobile game that involves slicing fruit?,Fruit Frenzy,Fruit Ninja,Fruit Blast,Fruit Smash,B
362891,Gaming,Mobile Games,Easy,600,"In 'Clash of Clans', what is the main resource used to build and upgrade buildings?",Gold,Elixir,Gems,Dark Elixir,A
362891,Gaming,Mobile Games,Easy,600,Which popular mobile game is set in a world where players are 'Pokemon Trainers'?,Pokémon Go,Harry Potter: Wizards Unite,Ingress,Jurassic World: The Game,A
362891,Gaming,Mobile Games,Easy,600,What is the main objective in 'Asphalt 9: Legends'?,To collect all the cars,To beat every track in the game,To participate in racing and complete challenges,To customize your car,C
362891,Gaming,Mobile Games,Easy,600,Which game involves building and managing a village on a mobile device?,Game of War,Clash of Clans,Hay Day,Boom Beach,B
362891,Gaming,Mobile Games,Easy,600,"In 'Plants vs. Zombies', what is the primary task of the player?",To defend plants from zombies,To grow plants and attack zombies,To collect seeds,To upgrade the garden,A
362891,Gaming,Mobile Games,Easy,600,What is the name of the popular augmented reality mobile game released in 2016?,Ingress Prime,Pokémon Go,Harry Potter: Wizards Unite,Jurassic World: The Game,B
362891,Gaming,Mobile Games,Easy,600,Which mobile game is about solving jigsaw puzzles?,Toon Blast,Gardenscapes,Jigsawscapes,Puzzle & Dragons,C
