QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
529036,Business & Finance,Personal Finance,Medium,900,Compound interest is calculated on:,The initial principal only,The initial principal and accumulated interest,The interest only,A fixed rate set by the bank,B
529036,Business & Finance,Personal Finance,Medium,900,Which of the following does NOT affect your credit score?,Number of credit inquiries,Debt-to-credit ratio,Marital status,Payment history,C
529036,Business & Finance,Personal Finance,Medium,900,An emergency fund is best used for:,Daily expenses,Luxury purchases,Investment opportunities,Unexpected financial emergencies,D
529036,Business & Finance,Personal Finance,Medium,900,Which of the following is a common type of retirement account in the US?,401(k),Savings account,Checking account,Credit card,A
529036,Business & Finance,Personal Finance,Medium,900,"In the 50/30/20 budgeting rule, the categories are:","50% housing, 30% food, 20% entertainment","50% needs, 30% savings, 20% wants","50% needs, 30% wants, 20% savings","50% wants, 30% needs, 20% savings",C
529036,Business & Finance,Personal Finance,Medium,900,What is a healthy debt-to-income ratio?,Less than 20%,Less than 36%,Greater than 50%,Exactly 40%,B
529036,Business & Finance,Personal Finance,Medium,900,Which investment type generally has the highest risk?,Government bonds,Certificates of deposit (CDs),Savings accounts,Individual stocks,D
529036,Business & Finance,Personal Finance,Medium,900,What is the first step in creating a personal budget?,Track your income and expenses,Set financial goals,Reduce unnecessary spending,Invest in savings,A
529036,Business & Finance,Personal Finance,Medium,900,Which of the following is typically tax-deductible in the US?,Groceries,Clothing,Mortgage interest,Dining out,C
529036,Business & Finance,Personal Finance,Medium,900,What is the main advantage of a high-yield savings account over a regular one?,Higher withdrawal limits,Higher interest rates,No fees,Better for investments,B
