QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
198056,Arts & Humanities,Cultural Studies,Hard,1200,Which of the following philosophers is known for his concept of the 'rhizome' in cultural theory?,Jean Baudrillard,Gilles Deleuze,Michel Foucault,Pierre Bourdieu,OptionB
198056,Arts & Humanities,Cultural Studies,Hard,1200,The term 'cultural capitalism' refers to the:,Commodification of cultural artifacts,Influence of capitalism on cultural production,Use of cultural symbols in advertising,Dominance of cultural industries in the global economy,OptionB
198056,Arts & Humanities,Cultural Studies,Hard,1200,Who is the author of the influential book 'The Raw and the Cooked'?,Clifford Geertz,Roland Barthes,Claude Lévi-Strauss,Pierre Bourdieu,OptionC
198056,Arts & Humanities,Cultural Studies,Hard,1200,The concept of 'habitus' in sociology refers to:,The GOODMAN,The social environment in which individuals develop their cultural preferences,The cultural practices and preferences of a particular social class,The process of cultural reproduction,OptionC
198056,Arts & Humanities,Cultural Studies,Hard,1200,Which of the following art movements is characterized by its use of 'found objects'?,Surrealism,Cubism,Dadaism,Abstract Expressionism,OptionC
198056,Arts & Humanities,Cultural Studies,Hard,1200,The term '-postcolonial' refers to the:,Period after a country has gained independence from colonial rule,Study of the cultural and social impacts of colonialism,Process of cultural exchange between colonial powers and colonized countries,History of colonialism and its effects on indigenous cultures,OptionB
198056,Arts & Humanities,Cultural Studies,Hard,1200,The concept of 'hyperreality' was introduced by which philosopher?,Jean-François Lyotard,Fredric Jameson,Jean Baudrillard,Slavoj Žižek,OptionC
198056,Arts & Humanities,Cultural Studies,Hard,1200,Who is the author of the influential book 'The Interpretation of Cultures'?,Clifford Geertz,Sherry Ortner,James Clifford,Renato Rosaldo,OptionA
198056,Arts & Humanities,Cultural Studies,Hard,1200,The term 'cultural hybridity' refers to the:,Mixing of different cultural practices and forms,Clash of different cultural values and beliefs,Dominance of one culture over another,Loss of cultural identity due to globalization,OptionA
198056,Arts & Humanities,Cultural Studies,Hard,1200,Which of the following thinkers is known for his theory of 'panopticism'?,Michel Foucault,Jean Baudrillard,Gilles Deleuze,Pierre Bourdieu,OptionA
