QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
820175,Logical & Aptitude Reasoning,Verbal Ability,Medium,900,The cost of a certain item is $75. It is on sale at a 20% discount. What is the total cost of 3 such items?,$150,$150+3*10,210,$225-$45,$225-$45
820175,Logical & Aptitude Reasoning,Verbal Ability,Medium,900,"If a bakery is having a sale on bread where every 2 loaves cost $1, but there is a 10% tax on each loaf. What is the total cost of 5 loaves of bread?",$2.5+0.50,$2.50,$2.50+5*0.10,$5,$2.5+0.50
820175,Logical & Aptitude Reasoning,Verbal Ability,Medium,900,"A snail is at the bottom of a 20-foot well. Each day, it climbs up 3 feet, but at night, it slips back 2 feet. How many days will it take for the snail to reach the top of the well?",18,19,28,18,18
820175,Logical & Aptitude Reasoning,Verbal Ability,Medium,900,"A company has 800 employees, and the average salary of these employees is $4,000 per month. What is the total salary paid to the employees in a year?","3,840,000","$4,000*12*800",800*12*4000/100,$800*12*4000,"$4,000*12*800"
820175,Logical & Aptitude Reasoning,Verbal Ability,Medium,900,"Tom and Alex are planning a trip. Tom needs to save 20% of his income for the trip and Alex needs to save 30% of his income. If Tom earns $2,000 and Alex earns $1,500, how much will they have to save in total?",1000,"$2,000*0.2+$1,500*0.5",600,"$2,000*0.2+$1,500*0.3","$2,000*0.2+$1,500*0.3"
820175,Logical & Aptitude Reasoning,Verbal Ability,Medium,900,"There is a 20% discount on anything purchased from the store. A 20% tip is expected from the total cost after discount. If an item costs $100, what is the total cost paid?",$100+20,100+100*0.2-20,108,100+0.8*20,100+100*0.2-20
820175,Logical & Aptitude Reasoning,Verbal Ability,Medium,900,"If x = 3 and y = 5, what is the value of x^2 + y^2?",16,38,34,28,34
820175,Logical & Aptitude Reasoning,Verbal Ability,Medium,900,"If a pipe can fill 1/2 of a tank in 1.5 hours, how long will it take for 5 such pipes to fill the tank?",3/5 hour,15 hour,5/3 hour,3 hour,3/5 hour
820175,Logical & Aptitude Reasoning,Verbal Ability,Medium,900,How many numbers divisible by 9 are there between 12 and 96?,9,10,11,8,10
820175,Logical & Aptitude Reasoning,Verbal Ability,Medium,900,"If the numerator of a fraction is increased by 100 and the denominator is increased by 200, the fraction becomes 1/2. What is the original fraction?",1/3,3/4,2/3,3/7,1/3
