QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
582298,Entertainment & Pop Culture,Television,Easy,600,What does TV stand for?,Telephone Vision,Television,Transistor Video,Television Video,OptionB
582298,Entertainment & Pop Culture,Television,Easy,600,Which of the following is a popular TV show?,The Movie,Friends,The Book,The Song,OptionB
582298,Entertainment & Pop Culture,Television,Easy,600,Who is a well-known TV host?,Ellen DeGeneres,Oprah Winfrey,Jimmy Fallon,All of the above,OptionD
582298,Entertainment & Pop Culture,Television,Easy,600,What is the name of the famous TV channel?,NBC,BBC,CBS,MTV,OptionA
582298,Entertainment & Pop Culture,Television,Easy,600,Which TV show is set in a coffee shop?,The Big Bang Theory,How I Met Your Mother,Friends,Seinfeld,OptionC
582298,Entertainment & Pop Culture,Television,Easy,600,Who played the role of Ross in the TV show Friends?,Matt LeBlanc,Matthew Perry,David Schwimmer,Jennifer Aniston,OptionC
582298,Entertainment & Pop Culture,Television,Easy,600,What is the name of the TV show about a family with superpowers?,The Incredibles,Heroes,The X-Files,Stranger Things,OptionB
582298,Entertainment & Pop Culture,Television,Easy,600,"Which TV show is set in the city of Scranton, Pennsylvania?",The Office,Parks and Recreation,Brooklyn Nine-Nine,Silicon Valley,OptionA
582298,Entertainment & Pop Culture,Television,Easy,600,Who played the role of Leslie Knope in the TV show Parks and Recreation?,Amy Poehler,Tina Fey,Julia Louis-Dreyfus,Kristen Bell,OptionA
582298,Entertainment & Pop Culture,Television,Easy,600,What is the name of the TV show about a group of survivors on a mysterious island?,Lost,The Walking Dead,The 100,Grimm,OptionA
