QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
579309,Technology & Computing,Databases,Hard,1200,Which type of database normalization ensures that no partial dependency exists?,Second Normal Form (2NF),First Normal Form (1NF),Third Normal Form (3NF),Boyce-Codd Normal Form (BCNF),Second Normal Form (2NF)
579309,Technology & Computing,Databases,Hard,1200,"In SQL, what does the acronym ACID stand for in the context of database transactions?","Application, Code, Instructions, Data","Atomicity, Consistency, Isolation, Durability","Analysis, Computation, Input, Data","Association, Consistency, Improvement, Development","Atomicity, Consistency, Isolation, Durability"
579309,Technology & Computing,Databases,Hard,1200,What is the primary purpose of an index in a database?,To maintain database security,To define relationships between tables,To speed up data retrieval,To enforce data integrity,To speed up data retrieval
579309,Technology & Computing,Databases,Hard,1200,Which SQL command is used to remove a table from a database?,DROP,DELETE,TRUNCATE,REMOVE,DROP
579309,Technology & Computing,Databases,Hard,1200,What is the purpose of the UNION operator in SQL?,To join columns from two tables,To merge the result sets of two queries,To filter duplicate rows within a table,To group rows based on conditions,To merge the result sets of two queries
579309,Technology & Computing,Databases,Hard,1200,What is a primary key in a relational database?,A column that uniquely identifies each row in a table,A key used to encrypt sensitive data,A combination of foreign keys,A column used specifically for numerical data,A column that uniquely identifies each row in a table
579309,Technology & Computing,Databases,Hard,1200,Which type of JOIN in SQL returns all rows from both participating tables that satisfy the join condition?,INNER JOIN,FULL OUTER JOIN,LEFT JOIN,CROSS JOIN,INNER JOIN
579309,Technology & Computing,Databases,Hard,1200,"In database systems, which term refers to the process of recovering lost data by using transaction logs?",Normalization,Rollback,Data Mining,Redo,Rollback
579309,Technology & Computing,Databases,Hard,1200,What is the significance of a foreign key in a relational database?,It is used to uniquely identify each row in a table,It allows storing encrypted values in the database,It establishes a relationship between two tables,It provides version control for records,It establishes a relationship between two tables
579309,Technology & Computing,Databases,Hard,1200,Which is the most accurate description of a NoSQL database when compared to a relational database?,Suitable for small-scale applications only,Designed for high scalability and flexibility in dealing with unstructured data,Requires a strict schema like SQL-based databases,Not capable of handling large data volumes effectively,Designed for high scalability and flexibility in dealing with unstructured data
