QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
107228,Science & Innovation,Physics,Easy,600,What is the hottest planet in the Solar System?,Venus,Mercury,Jupiter,Mars,Venus
107228,Science & Innovation,Physics,Easy,600,The medical term for the belly button is which of the following?,Umbilicus,Paxillus,Nevus,Nares,Umbilicus
107228,Science & Innovation,Physics,Easy,600,Which element has the highest melting point?,Carbon,Platinum,Tungsten,Osmium,Carbon
107228,Science & Innovation,Physics,Easy,600,The asteroid belt is located between which two planets?,Mars and Jupiter,Mercury and Venus,Earth and Mars,Jupiter and Saturn,Mars and Jupiter
107228,Science & Innovation,Physics,Easy,600,Stars consist mainly of hydrogen and which other gas?,Helium,Nitrogen,Argon,Oxygen,Helium
107228,Science & Innovation,Physics,Easy,600,Who discovered the Law of Gravity?,Albert Einstein,Sir Isaac Newton,Galileo Galilei,Charles Darwin,Sir Isaac Newton
107228,Science & Innovation,Physics,Easy,600,What is the official name of the star located closest to the North Celestial Pole?,Polaris,Iota Cephei,Eridanus,Gamma Cephei,Polaris
107228,Science & Innovation,Physics,Easy,600,What does DNA stand for?,Deoxyribogenetic Atoms,Deoxyribonucleic Acid,Deoxyribogenetic Acid,Detoxic Acid,Deoxyribonucleic Acid
107228,Science & Innovation,Physics,Easy,600,What is the first element on the periodic table?,Helium,Hydrogen,Oxygen,Lithium,Hydrogen
107228,Science & Innovation,Physics,Easy,600,Which of the following bones is not in the leg?,Tibia,Radius,Fibula ,Patella,Radius
