QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
120640,Business & Finance,Cryptocurrency & Blockchain,Medium,900,What does blockchain technology primarily provide?,A way to store large amounts of data centrally,A platform for social media,A secure method for peer-to-peer transactions,A type of digital currency,A secure method for peer-to-peer transactions
120640,Business & Finance,Cryptocurrency & Blockchain,Medium,900,How does Bitcoin achieve consensus on its network?,Through proof-of-stake,Through a central authority,Through voting by users,Through proof-of-work,Through proof-of-work
120640,Business & Finance,Cryptocurrency & Blockchain,Medium,900,What is a smart contract in the context of blockchain?,Self-executing contract with the terms directly written into code,A contract signed on paper,A type of cryptocurrency,A mining algorithm,Self-executing contract with the terms directly written into code
120640,Business & Finance,Cryptocurrency & Blockchain,Medium,900,Which of the following is a key benefit of using blockchain in finance?,Centralized control,Increased transparency and reduced fraud,Higher transaction fees,Slower processing times,Increased transparency and reduced fraud
120640,Business & Finance,Cryptocurrency & Blockchain,Medium,900,What does ICO stand for in the context of cryptocurrencies?,International Currency Organization,Intercontinental Crypto Operations,Initial Coin Offering,Independent Coin Ownership,Initial Coin Offering
120640,Business & Finance,Cryptocurrency & Blockchain,Medium,900,How is data stored on a blockchain?,In a linear database,In cloud storage,On a single server,In blocks linked by cryptographic hashes,In blocks linked by cryptographic hashes
120640,Business & Finance,Cryptocurrency & Blockchain,Medium,900,What is the role of a node in a blockchain network?,To maintain a copy of the blockchain and validate transactions,To mine new blocks,To store user data,To handle user interfaces,To maintain a copy of the blockchain and validate transactions
120640,Business & Finance,Cryptocurrency & Blockchain,Medium,900,Which cryptocurrency is often associated with smart contracts?,Bitcoin,Ethereum,Litecoin,Ripple,Ethereum
120640,Business & Finance,Cryptocurrency & Blockchain,Medium,900,What is decentralization in blockchain?,Central authority manages everything,All data is stored centrally,Only governments can access it,No single point of control or failure,No single point of control or failure
120640,Business & Finance,Cryptocurrency & Blockchain,Medium,900,How can blockchain technology be applied in supply chain management?,By increasing centralization,By slowing down processes,By eliminating the need for tracking,By providing traceability and reducing counterfeits,By providing traceability and reducing counterfeits
