QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
283210,Competitive Exams,Government Exams,Medium,900,"Which Article of the Indian Constitution deals with the establishment, constitution, organisation, powers and functions of the Supreme Court?",Article 112,Article 124,Article 280,Article 324,Article 124
283210,Competitive Exams,Government Exams,Medium,900,The 'Rajya Sabha' can delay a money bill sent to it by the 'Lok Sabha' for a maximum period of:,14 days,30 days,3 months,6 months,14 days
283210,Competitive Exams,Government Exams,Medium,900,Which of the following Schedules of the Indian Constitution deals with the allocation of seats for each State in the Rajya Sabha?,Third Schedule,Fourth Schedule,Fifth Schedule,Sixth Schedule,Fourth Schedule
283210,Competitive Exams,Government Exams,Medium,900,Under which Article of the Indian Constitution can the President of India proclaim a National Emergency?,Article 352,Article 360,Article 356,Article 368,Article 352
283210,Competitive Exams,Government Exams,Medium,900,The power to decide on the question of disqualification of a member of Parliament rests with whom?,The President,The Prime Minister,The Election Commission,The Speaker,The President
283210,Competitive Exams,Government Exams,Medium,900,Which of the following is NOT a fundamental duty as enshrined in the Indian Constitution?,To safeguard public property,To vote in elections,To protect and improve the natural environment,To abide by the Constitution and respect its ideals and institutions,To vote in elections
283210,Competitive Exams,Government Exams,Medium,900,The concept of 'Judicial Review' in the Indian Constitution has been borrowed from which country?,United Kingdom,Canada,United States of America,Australia,United States of America
283210,Competitive Exams,Government Exams,Medium,900,Who appoints the Attorney General of India?,The Chief Justice of India,The President of India,The Prime Minister of India,The Parliament of India,The President of India
283210,Competitive Exams,Government Exams,Medium,900,The Panchayati Raj system was first adopted in which of the following states?,Rajasthan,Uttar Pradesh,Madhya Pradesh,Maharashtra,Rajasthan
283210,Competitive Exams,Government Exams,Medium,900,Which committee recommended the establishment of the Panchayati Raj institutions in India?,Ashok Mehta Committee,Balwant Rai Mehta Committee,L.M. Singhvi Committee,Sarkaria Commission,Balwant Rai Mehta Committee
