QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
707633,Languages,Regional Indian Languages,Medium,900,What is the script used to write the Konkani language?,Devanagari,Roman,Both A and B,Kannada,C
707633,Languages,Regional Indian Languages,Medium,900,Which of the following languages is not a part of the Indo-Aryan language family?,Hindi,Marathi,Tamil,Bengali,C
707633,Languages,Regional Indian Languages,Medium,900,What is the official language of the Indian state of Kerala?,Tamil,Telugu,Malayalam,Kannada,C
707633,Languages,Regional Indian Languages,Medium,900,Which script is used to write the Sindhi language?,Devanagari,Perso-Arabic,Both A and B,Gurmukhi,C
707633,Languages,Regional Indian Languages,Medium,900,Which of the following is a Dravidian language?,Hindi,Bengali,Tamil,Marathi,C
707633,Languages,Regional Indian Languages,Medium,900,What is the primary language spoken in the Indian state of Assam?,Bengali,Assamese,Hindi,Bodo,B
707633,Languages,Regional Indian Languages,Medium,900,In which script is the Kashmiri language primarily written?,Perso-Arabic,Devanagari,Sharada,Both A and B,D
707633,Languages,Regional Indian Languages,Medium,900,Which language is considered the most spoken language in the state of Odisha?,Telugu,Odia,Bengali,Hindi,B
707633,Languages,Regional Indian Languages,Medium,900,Which of the following languages belongs to the Tibeto-Burman language family?,Bengali,Manipuri,Tamil,Gujarati,B
707633,Languages,Regional Indian Languages,Medium,900,What is the official language of the Indian state of Goa?,Marathi,Konkani,Kannada,Portuguese,B
