QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
178175,Business & Finance,Finance & Accounting,Hard,1200,"Calculate the net present value (NPV) of a project with an initial investment of $100,000 and expected cash inflows of $30,000 per year for 5 years. The discount rate is 8%.","$15,000","$19,775","$22,500","$25,000",B
178175,Business & Finance,Finance & Accounting,Hard,1200,"Using the Capital Asset Pricing Model (CAPM), what is the expected return of a stock with a beta of 1.2, if the risk-free rate is 3% and the market risk premium is 5%?",7%,8%,9%,10%,C
178175,Business & Finance,Finance & Accounting,Hard,1200,Which accounting principle requires that expenses be recorded in the same period as the revenues they help to generate?,Revenue recognition,Consistency,Materiality,Matching,D
178175,Business & Finance,Finance & Accounting,Hard,1200,What does a high debt-to-equity ratio indicate about a company?,High financial leverage,Low risk,High liquidity,Efficient management,A
178175,Business & Finance,Finance & Accounting,Hard,1200,Which of the following is a disadvantage of using the payback period method for capital budgeting?,Ignores the time value of money,Ignores cash flows beyond the payback period,Both A and B,Too complex to calculate,C
178175,Business & Finance,Finance & Accounting,Hard,1200,"According to the Modigliani-Miller theorem in a world without taxes, what is the effect of capital structure on firm value?",Increases with debt,Irrelevant,Decreases with equity,Depends on market conditions,B
178175,Business & Finance,Finance & Accounting,Hard,1200,Which theory states that the exchange rate between two currencies should equal the ratio of the price levels in the two countries?,Interest rate parity,Fisher effect,International Fisher effect,Purchasing power parity,D
178175,Business & Finance,Finance & Accounting,Hard,1200,The primary objective of the statement of cash flows is to:,Provide information about cash receipts and payments,Report net income,Show changes in equity,Detail revenue sources,A
178175,Business & Finance,Finance & Accounting,Hard,1200,Activity-Based Costing (ABC) helps in:,Reducing direct costs,Simplifying cost allocation,More accurately assigning overhead costs,Eliminating cost drivers,C
178175,Business & Finance,Finance & Accounting,Hard,1200,Financial leverage is primarily concerned with:,Fixed operating costs,The use of debt in the capital structure,Variable costs,Sales volume,B
