QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
988771,Technology & Computing,Mobile Development,Medium,900,Which programming language is primarily used for Android app development?,Swift,Kotlin,JavaScript,Python,Kotlin
988771,Technology & Computing,Mobile Development,Medium,900,Which framework is used for creating cross-platform mobile applications using JavaScript?,Flutter,React Native,Xamarin,Ionic,React Native
988771,Technology & Computing,Mobile Development,Medium,900,What does the term 'responsive design' refer to in mobile development?,Ensuring an app performs efficiently on older devices,Creating apps that respond only to touch gestures,Making apps adaptable to different screen sizes and orientations,Apps that automatically download updates,Making apps adaptable to different screen sizes and orientations
988771,Technology & Computing,Mobile Development,Medium,900,Which technology allows an app to access hardware-specific features like GPS or camera?,Native Development,Hybrid Frameworks,Web APIs,Cloud Integration,Native Development
988771,Technology & Computing,Mobile Development,Medium,900,What is the purpose of the AndroidManifest.xml file in an Android application?,To define application permissions and components,To store user data,To create app design layouts,To execute app build scripts,To define application permissions and components
988771,Technology & Computing,Mobile Development,Medium,900,Which of the following is a key benefit of using Flutter for app development?,It uses Swift to create apps,Native-like performance with a single codebase,It supports only iOS platforms,It eliminates the need for a user interface,Native-like performance with a single codebase
988771,Technology & Computing,Mobile Development,Medium,900,What is the main advantage of using a hybrid mobile app development framework?,Superior hardware integration,Faster development for multiple platforms,Exclusive use for iOS devices,Low-quality graphical performance,Faster development for multiple platforms
988771,Technology & Computing,Mobile Development,Medium,900,Which toolkit is widely used for iOS app development?,XCode,Visual Studio,Android Studio,Unity,XCode
988771,Technology & Computing,Mobile Development,Medium,900,"What does the term 'API' stand for, commonly used in mobile development?",Application Programming Interface,Application Process Identifier,Advanced Programming Instruction,Automatic Processing Interface,Application Programming Interface
988771,Technology & Computing,Mobile Development,Medium,900,Which database is commonly used in mobile development to store local data efficiently?,Firebase,MySQL,SQLite,MongoDB,SQLite
