QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
780124,Technology & Computing,Cyber Security,Medium,900,Which of the following is considered a strong password?,12345678,Password123,a$gT@3z!1L,iloveyou,a$gT@3z!1L
780124,Technology & Computing,Cyber Security,Medium,900,What does phishing aim to achieve in cyber security?,Gain unauthorized access to computer networks.,Trick users into revealing sensitive information.,Launch denial-of-service attacks.,Infect systems with ransomware.,Trick users into revealing sensitive information.
780124,Technology & Computing,Cyber Security,Medium,900,Which type of malware is designed to replicate itself and spread to other computers?,Spyware,Trojan,Worm,Ransomware,Worm
780124,Technology & Computing,Cyber Security,Medium,900,What does the acronym VPN stand for?,Virtual Private Network,Verified Protection Node,Virtual Protection Nucleus,Variant Protocol Network,Virtual Private Network
780124,Technology & Computing,Cyber Security,Medium,900,What is the primary purpose of two-factor authentication (2FA)?,Encrypt sensitive data.,Restrict user permissions.,Verify user identity with additional security layers.,Block malware from infecting systems.,Verify user identity with additional security layers.
780124,Technology & Computing,Cyber Security,Medium,900,What is a firewall used for in cyber security?,Analyze user behavior.,Prevent unauthorized access to networks.,Create backup copies of data.,Patch vulnerabilities in software.,Prevent unauthorized access to networks.
780124,Technology & Computing,Cyber Security,Medium,900,What is the CIA triad in cyber security?,"Confidentiality, Integrity, Availability","Control, Information, Access","Communication, Isolation, Authentication","Coordination, Inspection, Authorization","Confidentiality, Integrity, Availability"
780124,Technology & Computing,Cyber Security,Medium,900,What is the purpose of encryption?,To monitor user activity.,To convert data into a secure format that is unreadable without a key.,To detect malware.,To increase data storage capacity.,To convert data into a secure format that is unreadable without a key.
780124,Technology & Computing,Cyber Security,Medium,900,What is ransomware?,A type of virus that deletes files from a computer.,Malware that encrypts files and demands payment for their release.,Software designed to track users' activities.,A networking protocol used to enhance security.,Malware that encrypts files and demands payment for their release.
780124,Technology & Computing,Cyber Security,Medium,900,What is the most common way cyber criminals distribute malware?,Random system updates.,Email attachments and malicious links.,Physical media like flash drives.,Direct installation by users.,Email attachments and malicious links.
