QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
166481,Sports & Games,Indoor Games,Easy,600,"Which of the following characters from the game ""Overwatch"" was revealed to be homosexual in December of 2016?",Symmetra,Widowmaker,Sombra,Tracer,Tracer
166481,Sports & Games,Indoor Games,Easy,600,Who is the main antagonist of Ori and the Blind Forest?,Kuro,Nibel,Gumo,King Rammer XII,Kuro
166481,Sports & Games,Indoor Games,Easy,600,"Which of these is NOT a playable character in ""Left 4 Dead""?",Bill,Zoey,Louis,Nick,Nick
166481,Sports & Games,Indoor Games,Easy,600,Which company is the one responsible for creating the strategy videogame Stellaris?,Tripwire Interactive LLC,Overkill Software,Ensemble Studios,Paradox Development Studio,Paradox Development Studio
166481,Sports & Games,Indoor Games,Easy,600,"When was ""Luigi's Mansion 3"" released?","September 6th, 2018","October 31st, 2019","January 13th, 2019","October 1st, 2019","October 31st, 2019"
166481,Sports & Games,Indoor Games,Easy,600,Which of the following Elite Four members from the 6th Generation of Pokémon was a member of Team Flare?,Wikstrom,Drasna,Malva,Siebold,Malva
166481,Sports & Games,Indoor Games,Easy,600,"League of Legends, DOTA 2, Smite and Heroes of the Storm are all part of which game genre?",First Person Shooter (FPS),Multiplayer Online Battle Arena (MOBA),Role Playing Game (RPG),Real Time Strategy (RTS),Multiplayer Online Battle Arena (MOBA)
166481,Sports & Games,Indoor Games,Easy,600,What was the name of the canceled projected by Blizzard Entertainment that would be later become Overwatch?,Omega,Ghost,Titan,Omnic,Titan
166481,Sports & Games,Indoor Games,Easy,600,"Who is the writer of the game ""Half-Life""?",Marc Laidlaw,Chet Faliszek,Robin Walker,Gabe Newell,Marc Laidlaw
166481,Sports & Games,Indoor Games,Easy,600,Which of the following Zelda games did not feature Ganon as a final boss?,Majora's Mask,Skyward Sword,Ocarina of Time,Breath of the Wild,Majora's Mask
