QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
802618,Business & Finance,Personal Finance,Easy,600,What is a budget in personal finance?,A type of investment,A plan for spending and saving money,A bank account,A credit score,B
802618,Business & Finance,Personal Finance,Easy,600,Why is it important to save money?,To avoid paying taxes,To increase credit score,To get more loans,To have funds for emergencies,D
802618,Business & Finance,Personal Finance,Easy,600,What does interest mean in a bank account?,The amount you borrow,A fee for late payments,Extra money paid by a bank for keeping money in a savings account,The balance in your account,C
802618,Business & Finance,Personal Finance,Easy,600,What is a common feature of a savings account?,Used for daily purchases,No interest earned,Earns interest on deposited money,Allows overdraft,C
802618,Business & Finance,Personal Finance,Easy,600,What does credit mean in personal finance?,A type of savings,Earning interest,A bank account balance,Borrowing money that must be paid back,D
802618,Business & Finance,Personal Finance,Easy,600,What is compound interest?,Interest calculated on the principal only,Interest calculated on the principal and accumulated interest,A fixed interest rate,Interest that is negative,B
802618,Business & Finance,Personal Finance,Easy,600,What is an emergency fund?,A fund for investments,A type of credit,Money set aside for unexpected expenses,Savings for vacations,C
802618,Business & Finance,Personal Finance,Easy,600,Why is it important to pay bills on time?,To earn more interest,To get discounts from banks,To increase savings,To avoid late fees and improve credit score,D
802618,Business & Finance,Personal Finance,Easy,600,What is a simple way to reduce monthly expenses?,Buying more on credit,Ignoring budget plans,Eating out less and cooking at home,Increasing shopping frequency,C
802618,Business & Finance,Personal Finance,Easy,600,What is inflation?,A type of investment,A general increase in prices over time,Decreasing interest rates,When the economy shrinks,B
