QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
722431,Business & Finance,Business Strategy,Medium,900,Which of the following is NOT one of Porter’s Five Forces?,Threat of substitutes,Bargaining power of buyers,Threat of complementary products,Rivalry among existing competitors,Threat of complementary products
722431,Business & Finance,Business Strategy,Medium,900,What is the primary objective of a cost leadership strategy?,Charge the highest prices in premium segments,Achieve the lowest industry-wide cost position while meeting acceptable quality standards,Focus on a narrow niche with unique features regardless of cost,Maximize customer switching costs through brand community,Achieve the lowest industry-wide cost position while meeting acceptable quality standards
722431,Business & Finance,Business Strategy,Medium,900,"In the BCG Growth-Share Matrix, a business unit with high market share in a low-growth industry is classified as a:",Question mark,Star,Dog,Cash cow,Cash cow
722431,Business & Finance,Business Strategy,Medium,900,"According to the VRIO framework, a resource that is valuable, rare, costly to imitate, and the firm is organized to exploit will most likely lead to:",Competitive parity,Temporary competitive advantage,Sustained competitive advantage,Competitive disadvantage,Sustained competitive advantage
722431,Business & Finance,Business Strategy,Medium,900,"In the Ansoff Matrix, introducing a new product into a new market is an example of:",Diversification,Market development,Market penetration,Product development,Diversification
722431,Business & Finance,Business Strategy,Medium,900,Which of the following is an example of backward vertical integration?,A fashion brand launching its own retail boutiques,A car manufacturer acquiring a steel producer,A consumer electronics firm signing an exclusive reseller agreement,A beverage company purchasing a national vending machine network,A car manufacturer acquiring a steel producer
722431,Business & Finance,Business Strategy,Medium,900,Blue Ocean Strategy is best described as:,Competing head-to-head by undercutting prices in an existing market,Increasing advertising spend to capture market share in mature markets,Outsourcing non-core activities to reduce costs,Creating uncontested market space by simultaneously pursuing differentiation and low cost,Creating uncontested market space by simultaneously pursuing differentiation and low cost
722431,Business & Finance,Business Strategy,Medium,900,Which is a primary risk of pursuing a differentiation strategy?,Buyers may not perceive enough added value to justify the premium price,Economies of scale may increase too quickly,Suppliers will gain excessive bargaining power,Industry growth will accelerate and erode margins,Buyers may not perceive enough added value to justify the premium price
722431,Business & Finance,Business Strategy,Medium,900,Which of the following is NOT typically included in a PESTEL analysis?,Legal factors,Environmental factors,Competitive rivalry,Technological factors,Competitive rivalry
722431,Business & Finance,Business Strategy,Medium,900,Network effects most directly create which strategic condition for a platform business?,Lower fixed costs relative to rivals,Demand-side economies of scale that strengthen barriers to entry as the user base grows,Higher bargaining power of suppliers due to increased volume,Guaranteed first-mover advantage regardless of execution,Demand-side economies of scale that strengthen barriers to entry as the user base grows
