QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
458228,Science & Innovation,Environmental Science,Easy,600,How many chromosomes are in your body cells?,23,24,22,21,23
458228,Science & Innovation,Environmental Science,Easy,600,"What is the common name of the chemical compound ""dihydrogen monoxide""?",Laughing Gas,Water,Ammonia ,Methane,Water
458228,Science & Innovation,Environmental Science,Easy,600,What is the first element on the periodic table?,Helium,Lithium,Hydrogen,Oxygen,Hydrogen
458228,Science & Innovation,Environmental Science,Easy,600,"What is the ""powerhouse"" of the Eukaryotic animal cell?",Endoplasmic Reticulum,Chloroplast,Mitochondria,Nucleus,Mitochondria
458228,Science & Innovation,Environmental Science,Easy,600,How many bones are in the human body?,200,209,203,206,206
458228,Science & Innovation,Environmental Science,Easy,600,How many planets are there in the Solar System?,8,9,11,10,8
458228,Science & Innovation,Environmental Science,Easy,600,The asteroid belt is located between which two planets?,Mercury and Venus,Jupiter and Saturn,Mars and Jupiter,Earth and Mars,Mars and Jupiter
458228,Science & Innovation,Environmental Science,Easy,600,Alzheimer's disease primarily affects which part of the human body?,Skin,Lungs,Heart,Brain,Brain
458228,Science & Innovation,Environmental Science,Easy,600,Dry ice is the solid form of what substance?,Oxygen,Ammonia,Nitrogen,Carbon dioxide,Carbon dioxide
458228,Science & Innovation,Environmental Science,Easy,600,Which element has the highest melting point?,Platinum,Osmium,Tungsten,Carbon,Carbon
