QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
939964,Languages,Vocabulary,Medium,900,What does the word 'perspicacious' mean?,Having a strong and unpleasant smell,Having a keen understanding and insight,Having a tendency to talk too much,Having a strong desire to travel,OptionB
939964,Languages,Vocabulary,Medium,900,What is the meaning of the word 'fastidious'?,Careless and sloppy,Meticulous and demanding in one's standards,Quick and efficient,Lazy and idle,OptionB
939964,Languages,Vocabulary,Medium,900,What does the word 'enervate' mean?,To give energy and strength to,To deprive of energy and strength,To provide a sense of calm and relaxation,To cause anger and frustration,OptionB
939964,Languages,Vocabulary,Medium,900,What is the meaning of the word 'dexterous'?,Clumsy and awkward,Skilled and adept with one's hands,Strong and powerful,Slow and sluggish,OptionB
939964,Languages,Vocabulary,Medium,900,What does the word 'erudite' mean?,Having little knowledge or education,Having a lot of knowledge and education,Having a strong interest in sports,Having a talent for music,OptionB
939964,Languages,Vocabulary,Medium,900,What is the meaning of the word 'exacerbate'?,To make a problem or situation better,To make a problem or situation worse,To leave a problem or situation unchanged,To forget about a problem or situation,OptionB
939964,Languages,Vocabulary,Medium,900,What does the word 'finesse' mean?,Delicacy and subtlety of performance or skill,Roughness and crudeness of performance or skill,Speed and efficiency of performance or skill,Strength and power of performance or skill,OptionA
939964,Languages,Vocabulary,Medium,900,What is the meaning of the word 'garrulous'?,Talkative and loquacious,Quiet and reserved,Friendly and outgoing,Shy and introverted,OptionA
939964,Languages,Vocabulary,Medium,900,What does the word 'heterogeneous' mean?,Composed of different kinds of things,Composed of the same kind of things,Having a varied and diverse nature,Having a consistent and uniform nature,OptionA
939964,Languages,Vocabulary,Medium,900,What is the meaning of the word 'insidious'?,Open and direct,Stealthy and sneaky,Friendly and approachable,Angry and confrontational,OptionB
