QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
696938,General Knowledge,Current Affairs,Hard,1200,"Which country launched the 'Amrit Brikshya Andolan', targeting massive tree plantation in recent months?",India,Bangladesh,Nepal,Sri Lanka,India
696938,General Knowledge,Current Affairs,Hard,1200,"In 2023, which country hosted the G20 Summit under the theme 'One Earth, One Family, One Future'?",Australia,India,Germany,United States,India
696938,General Knowledge,Current Affairs,Hard,1200,Which country recently became the first to successfully land a spacecraft near the Moon's south pole?,China,Russia,India,Japan,India
696938,General Knowledge,Current Affairs,Hard,1200,What new name did the Indian government propose during global summits in 2023 to refer to the nation in official capacities?,Hindustan,Bharat,Aryavarta,Industan,Bharat
696938,General Knowledge,Current Affairs,Hard,1200,Which international organization made headlines for announcing an AI governance framework in 2023?,World Trade Organization (WTO),United Nations (UN),Organisation for Economic Co-operation and Development (OECD),World Health Organization (WHO),Organisation for Economic Co-operation and Development (OECD)
696938,General Knowledge,Current Affairs,Hard,1200,Which country's Prime Minister stepped down in 2023 following a major corruption scandal?,Spain,United Kingdom,Iceland,Romania,Romania
696938,General Knowledge,Current Affairs,Hard,1200,Which tech company unveiled the world’s first humanoid robot chef that cooks complex recipes without assistance in 2023?,Samsung,Moley Robotics,Tesla,Sony,Moley Robotics
696938,General Knowledge,Current Affairs,Hard,1200,Which African nation authorized the deployment of international forces in 2023 to combat escalating gang violence?,Kenya,Haiti,South Africa,Nigeria,Haiti
696938,General Knowledge,Current Affairs,Hard,1200,Which country released its first national AI-powered weather forecasting system in 2023?,United States,Canada,Japan,France,Japan
696938,General Knowledge,Current Affairs,Hard,1200,"Who unexpectedly won the 2023 Nobel Prize in Literature, causing a surge of global interest in their works?",Annie Ernaux,Haruki Murakami,Jon Fosse,Salman Rushdie,Jon Fosse
