QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
374854,Business & Finance,Entrepreneurship,Medium,900,"In entrepreneurship, what is a business plan primarily used for?",Attracting customers,Securing funding from investors,Daily operational tasks,Employee recruitment,Securing funding from investors
374854,Business & Finance,Entrepreneurship,Medium,900,What type of entrepreneurship focuses on creating social value rather than profit?,Corporate entrepreneurship,Scalable startup entrepreneurship,Social entrepreneurship,Small business entrepreneurship,Social entrepreneurship
374854,Business & Finance,Entrepreneurship,Medium,900,What does SWOT analysis stand for in the context of business planning?,"Sales, Wages, Operations, Tactics","Strategy, Workflow, Organization, Tactics","Strengths, Weaknesses, Objectives, Targets","Strengths, Weaknesses, Opportunities, Threats","Strengths, Weaknesses, Opportunities, Threats"
374854,Business & Finance,Entrepreneurship,Medium,900,Which characteristic is most essential for an entrepreneur?,Risk-taking ability,Extroversion,High income,Advanced education,Risk-taking ability
374854,Business & Finance,Entrepreneurship,Medium,900,What is bootstrapping in entrepreneurship?,Seeking venture capital,Using personal savings to fund the business,Hiring a large team,Outsourcing all operations,Using personal savings to fund the business
374854,Business & Finance,Entrepreneurship,Medium,900,Which of the following is a common source of funding for startups?,Bank loans,Government grants,Venture capital,Personal debt,Venture capital
374854,Business & Finance,Entrepreneurship,Medium,900,What is the first step in the entrepreneurial process?,Developing a product,Conducting market research,Writing a business plan,Identifying a business opportunity,Identifying a business opportunity
374854,Business & Finance,Entrepreneurship,Medium,900,"In entrepreneurship, what does ROI stand for?",Return on Investment,Rate of Interest,Risk of Investment,Revenue over Investment,Return on Investment
374854,Business & Finance,Entrepreneurship,Medium,900,Which of the following is an example of an exit strategy for a business?,Initial Public Offering (IPO),Acquisition by another company,Hiring more employees,Increasing product prices,Acquisition by another company
374854,Business & Finance,Entrepreneurship,Medium,900,What role does innovation play in entrepreneurship?,It is optional for success,It increases costs,It drives competitive advantage,It is only important in tech industries,It drives competitive advantage
