QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
670047,Entertainment & Pop Culture,Celebrities,Hard,1200,Which American singer-songwriter is known for her powerful voice and hit songs like 'Respect' and 'Chain of Fools'?,Tina Turner,Aretha Franklin,Janis Joplin,Etta James,Aretha Franklin
670047,Entertainment & Pop Culture,Celebrities,Hard,1200,"Which British rock band, formed in 1960, is known for hits like 'I Want to Hold Your Hand' and 'Yesterday'?",The Rolling Stones,The Who,The Beatles,Queen,The Beatles
670047,Entertainment & Pop Culture,Celebrities,Hard,1200,Which American actress is known for her iconic roles in movies like 'The Bodyguard' and 'Waiting to Exhale'?,Halle Berry,Whitney Houston,Diana Ross,Jennifer Lopez,Whitney Houston
670047,Entertainment & Pop Culture,Celebrities,Hard,1200,Which American rapper and songwriter is known for his hit songs like 'Lose Yourself' and 'Not Afraid'?,Kanye West,Jay-Z,Drake,Eminem,Eminem
670047,Entertainment & Pop Culture,Celebrities,Hard,1200,Which Australian actress is known for her iconic role as Katniss Everdeen in 'The Hunger Games' movie series?,Emma Stone,Jennifer Lawrence,Shailene Woodley,Mila Kunis,Jennifer Lawrence
670047,Entertainment & Pop Culture,Celebrities,Hard,1200,Which American musician is known for his iconic guitar playing and hit songs like 'Purple Rain' and 'When Doves Cry'?,David Bowie,Elton John,Stevie Wonder,Prince,Prince
670047,Entertainment & Pop Culture,Celebrities,Hard,1200,Which American actress is known for her iconic roles in movies like 'The Devil Wears Prada' and 'Les Misérables'?,Meryl Streep,Anne Hathaway,Julia Roberts,Cate Blanchett,Anne Hathaway
670047,Entertainment & Pop Culture,Celebrities,Hard,1200,Which Canadian singer-songwriter is known for his hit songs like 'Sorry' and 'Love Yourself'?,Shawn Mendes,The Weeknd,Justin Bieber,Drake,Justin Bieber
670047,Entertainment & Pop Culture,Celebrities,Hard,1200,Which American actress is known for her iconic roles in movies like 'Pretty Woman' and 'Erin Brockovich'?,Meg Ryan,Sandra Bullock,Julia Roberts,Gwyneth Paltrow,Julia Roberts
670047,Entertainment & Pop Culture,Celebrities,Hard,1200,Which American musician is known for his iconic music and hit songs like 'Space Oddity' and 'Changes'?,Elton John,Fleetwood Mac,The Doors,David Bowie,David Bowie
