QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
950027,Fun & Casual,Guess the Answer,Hard,1200,Which unusual item was once considered a luxury status symbol in Ancient Rome?,Purple-dyed clothing,Glass windows,Pet giraffes,Concrete benches,Pet giraffes
950027,Fun & Casual,Guess the Answer,Hard,1200,The word 'nerd' first appeared in which famous book?,Charlotte's Web,The Cat in the Hat,If I Ran the Zoo,Green Eggs and Ham,If I Ran the Zoo
950027,Fun & Casual,Guess the Answer,Hard,1200,Which fruit floats in water due to a small air pocket inside?,Banana,Apple,Peach,Grape,Apple
950027,Fun & Casual,Guess the Answer,Hard,1200,"In 'The Wizard of Oz', which character's costume contained asbestos for safety?",Dorothy,The Cowardly Lion,The Scarecrow,The Wicked Witch of the West,The Wicked Witch of the West
950027,Fun & Casual,Guess the Answer,Hard,1200,Which game was originally banned in Soviet Russia for being 'too Western'?,Chess,Tetris,Monopoly,Backgammon,Monopoly
950027,Fun & Casual,Guess the Answer,Hard,1200,Which animal's milk is pink?,Elephant,Hippopotamus,Dolphin,Camel,Hippopotamus
950027,Fun & Casual,Guess the Answer,Hard,1200,What is the only food that never spoils?,Honey,White rice,Pasta,Salt,Honey
950027,Fun & Casual,Guess the Answer,Hard,1200,Which popular toy was originally invented as a wallpaper cleaner?,Silly Putty,Play-Doh,Bouncy Ball,Rubik's Cube,Play-Doh
950027,Fun & Casual,Guess the Answer,Hard,1200,Which musical instrument was once used to signal ships due to its loud sound?,Trumpet,Violin,Accordion,Fog horn,Trumpet
950027,Fun & Casual,Guess the Answer,Hard,1200,"Which U.S. state has the most official state symbols, including an official toy?",Texas,California,Maryland,New Mexico,Maryland
