QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
157986,Business & Finance,Business Strategy,Hard,1200,"Under the VRIO framework in the resource-based view, which condition is necessary in addition to a resource being valuable, rare, and hard to imitate to achieve sustained competitive advantage?",Being patented and legally protected is sufficient regardless of organizational alignment.,The resource is costly to trade but easily replicated.,The firm is organized with complementary processes and control systems to capture value from the resource.,The resource's rarity ensures long-run monopoly profits even if industry structure is unfavorable.,The firm is organized with complementary processes and control systems to capture value from the resource.
157986,Business & Finance,Business Strategy,Hard,1200,"According to transaction cost economics, when is vertical integration most likely to create net value for the firm?",When economies of scale are unavailable in-house but common in the market.,"When asset specificity and uncertainty are high, making market contracting prone to hold-up and adaptation hazards relative to internal governance.",When supplier opportunism is legally prohibited by complete contracts.,When the firm wants to diversify risk across unrelated markets.,"When asset specificity and uncertainty are high, making market contracting prone to hold-up and adaptation hazards relative to internal governance."
157986,Business & Finance,Business Strategy,Hard,1200,"In an entry-deterrence context, which of the following is a credible commitment that can discourage entry by changing payoffs?",Publicly stating intent to match prices without changing cost structure.,Running a short-term promotional discount.,Investing in brand advertising to signal aggressiveness.,Building excess capacity that is costly to reverse and observable to entrants.,Building excess capacity that is costly to reverse and observable to entrants.
157986,Business & Finance,Business Strategy,Hard,1200,Which analytic tool is central to Blue Ocean Strategy for achieving value innovation?,The Four Actions Framework (eliminate-reduce-raise-create) to achieve value innovation.,The Five Whys for root-cause analysis.,The PERT/CPM network for process planning.,The McKinsey 7S for organizational alignment.,The Four Actions Framework (eliminate-reduce-raise-create) to achieve value innovation.
157986,Business & Finance,Business Strategy,Hard,1200,"In markets with two-sided network effects, which conditions most reduce the likelihood of platform tipping toward a single dominant standard?",High single-homing on both sides with strong cross-side effects.,Strong same-side negative effects and high switching costs.,"Low multi-homing costs, interoperability standards, and differentiated user preferences across niches.",Exclusive contracts that prevent platform envelopment.,"Low multi-homing costs, interoperability standards, and differentiated user preferences across niches."
157986,Business & Finance,Business Strategy,Hard,1200,Real options reasoning suggests that deferring an investment is optimal under which circumstances?,When uncertainty is low and the cost of waiting is high due to fast imitation.,"When uncertainty and irreversibility are high but competitive preemption risk is low, making the option to wait valuable.","When financing is cheap, regardless of competitive dynamics.",When NPV at expected values is slightly positive but volatility is negligible.,"When uncertainty and irreversibility are high but competitive preemption risk is low, making the option to wait valuable."
157986,Business & Finance,Business Strategy,Hard,1200,Which of the following is an example of economies of scope rather than economies of scale or learning effects?,Sharing a salesforce and distribution network across multiple product categories.,Increasing the size of a single plant to reduce average unit costs.,Learning curve cost reductions in a single product line as cumulative output doubles.,Spreading fixed advertising over higher volume of one SKU.,Sharing a salesforce and distribution network across multiple product categories.
157986,Business & Finance,Business Strategy,Hard,1200,"According to disruptive innovation theory, when are incumbents most vulnerable to new entrants?",When entrants target the most profitable mainstream customers with superior performance on all attributes.,When incumbents have low fixed costs and can rapidly reallocate assets.,When network effects are strong and incumbents control complements.,When mainstream customers are overserved and entrants improve along a different performance trajectory from a low-end or new market foothold.,When mainstream customers are overserved and entrants improve along a different performance trajectory from a low-end or new market foothold.
157986,Business & Finance,Business Strategy,Hard,1200,"In corporate strategy, what best characterizes a parenting advantage?","Value is created whenever units share any resource, regardless of fit.",Value arises when the corporate center’s skills and systems match the business’s parenting opportunities such that this parent can add more value than alternative owners.,Diversifying into unrelated businesses always increases shareholder value via risk reduction.,"The conglomerate discount results from market myopia, not misfit.",Value arises when the corporate center’s skills and systems match the business’s parenting opportunities such that this parent can add more value than alternative owners.
157986,Business & Finance,Business Strategy,Hard,1200,Double marginalization can reduce channel profits in a vertical chain. Which contractual mechanism can eliminate double marginalization without full integration?,Cost-plus contracts that guarantee a markup for the upstream firm.,Quantity discounts with declining average price at higher volumes.,A two-part tariff that sets the wholesale price at marginal cost with a fixed franchise fee to extract profit.,Most-favored-nation clauses requiring the lowest wholesale price across retailers.,A two-part tariff that sets the wholesale price at marginal cost with a fixed franchise fee to extract profit.
