QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
111032,Technology & Computing,Artificial Intelligence & Machine Learning,Hard,1200,Which optimization algorithm is commonly used in training neural networks and adjusts weights to minimize the error?,Stochastic Gradient Descent,Genetic Algorithm,Random Forest Optimization,Simulated Annealing,OptionA
111032,Technology & Computing,Artificial Intelligence & Machine Learning,Hard,1200,What is the term for a machine learning model’s ability to perform well on unseen data?,Convergence,Generalization,Overfitting,Bias,OptionB
111032,Technology & Computing,Artificial Intelligence & Machine Learning,Hard,1200,Which of the following is an activation function in neural networks?,Maxpool,ReLU,Linear Regression,Gradient Boosting,OptionB
111032,Technology & Computing,Artificial Intelligence & Machine Learning,Hard,1200,Which concept refers to the scenario where a model performs well on training data but poorly on testing data?,Regularization,Underfitting,Overfitting,Dropout,OptionC
111032,Technology & Computing,Artificial Intelligence & Machine Learning,Hard,1200,What does the term ‘supervised learning’ mean in AI and machine learning?,Learning without a labeled dataset,Learning based on rewards and penalties,Learning from labeled datasets,Learning exclusively using clustering methods,OptionC
111032,Technology & Computing,Artificial Intelligence & Machine Learning,Hard,1200,"In reinforcement learning, what is the term for the function that maps states and actions to expected future rewards?",Reward Function,Policy,Value Function,Cost Function,OptionC
111032,Technology & Computing,Artificial Intelligence & Machine Learning,Hard,1200,Which of the following is NOT a type of machine learning?,Supervised Learning,Deep Learning,Reinforcement Learning,Unsupervised Learning,OptionB
111032,Technology & Computing,Artificial Intelligence & Machine Learning,Hard,1200,Which of the following strategies is used in decision trees to split the data based on feature selection?,Entropy,Backpropagation,Gradient Boosting,K-Means Clustering,OptionA
111032,Technology & Computing,Artificial Intelligence & Machine Learning,Hard,1200,What is the ‘vanishing gradient problem’ in deep learning?,A situation where gradients grow exponentially during backpropagation,Gradients disappear before reaching lower layers during backpropagation,When the output of the model completely vanishes,Errors accumulate and become too large during training,OptionB
111032,Technology & Computing,Artificial Intelligence & Machine Learning,Hard,1200,Which neural network architecture is specialized for sequential data such as time series or natural language processing?,Convolutional Neural Network (CNN),Recurrent Neural Network (RNN),Generative Adversarial Network (GAN),Feedforward Neural Network,OptionB
