QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
842842,Science & Innovation,Chemistry,Medium,900,Down Syndrome is usually caused by an extra copy of which chromosome?,21,23,15,24,21
842842,Science & Innovation,Chemistry,Medium,900,Which of these is a type of stretch/deep tendon reflex?,Scratch reflex,Ankle jerk reflex,Pupillary light reflex,Gag reflex,Ankle jerk reflex
842842,Science & Innovation,Chemistry,Medium,900,Which of these choices is not one of the phases of mitosis?,Anaphase,Diplophase,Telophase,Metaphase,Diplophase
842842,Science & Innovation,Chemistry,Medium,900,Which chemical element has the lowest boiling point?,Hydrogen,Nitrogen,Helium,Neon,Helium
842842,Science & Innovation,Chemistry,Medium,900,Which Swiss psychologist is synonymous with the concepts of introvert and extrovert personalities?,Hermann Rorschach,Alice Miller,Jean Piaget,Carl Jung,Carl Jung
842842,Science & Innovation,Chemistry,Medium,900,What does the yellow diamond on the NFPA 704 fire diamond represent?,Flammability,Radioactivity,Reactivity,Health,Reactivity
842842,Science & Innovation,Chemistry,Medium,900,The medial meniscus forms which part of what joint in the human body?,Knee,Ankle,Elbow,Shoulder,Knee
842842,Science & Innovation,Chemistry,Medium,900,What term is best associated with Sigmund Freud?,Theory of Gravity,Psychoanalysis,Dialectical Behavior Therapy,Cognitive-Behavioral Therapy,Psychoanalysis
842842,Science & Innovation,Chemistry,Medium,900,What mineral has the lowest number on the Mohs scale?,Gypsum,Talc,Quartz,Diamond,Talc
842842,Science & Innovation,Chemistry,Medium,900,Approximately what percentage of Earth's atmosphere is Oxygen?,78%,54%,21%,7%,21%
