QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
972545,Academic & Education,Law,Easy,600,What is the primary purpose of laws in a society?,To entertain people with complicated rules,"To maintain order, protect rights, and resolve disputes",To create confusion among citizens,To allow everyone to do whatever they want,"To maintain order, protect rights, and resolve disputes"
972545,Academic & Education,Law,Easy,600,Which branch of government is primarily responsible for making new laws (legislation)?,The Executive Branch,The Judicial Branch,The Legislative Branch,The Military Branch,The Legislative Branch
972545,Academic & Education,Law,Easy,600,What is the term for a person who presides over a court of law and makes decisions or rulings?,A Lawyer,A Witness,A Judge,A Juror,A Judge
972545,Academic & Education,Law,Easy,600,A 'constitution' is best described as:,A type of building material,A set of fundamental principles or established precedents according to which a state or other organization is governed,A historical novel about legal battles,A set of suggestions for good behavior,A set of fundamental principles or established precedents according to which a state or other organization is governed
972545,Academic & Education,Law,Easy,600,What is the difference between a 'criminal case' and a 'civil case'?,"Criminal cases involve old laws, civil cases involve new laws.","Criminal cases deal with offenses against the state (e.g., theft), while civil cases deal with disputes between individuals or organizations (e.g., contract breach).","Civil cases involve crimes, criminal cases involve money.",There is no difference; the terms are interchangeable.,"Criminal cases deal with offenses against the state (e.g., theft), while civil cases deal with disputes between individuals or organizations (e.g., contract breach)."
972545,Academic & Education,Law,Easy,600,What fundamental legal principle states that a person is considered innocent until proven guilty?,Due Process,Habeas Corpus,Presumption of Innocence,Double Jeopardy,Presumption of Innocence
972545,Academic & Education,Law,Easy,600,Which of the following is typically NOT considered a primary source of law?,Statutes (written laws by legislatures),Regulations from government agencies,Judicial precedents (decisions from past court cases),Personal opinions found on social media,Personal opinions found on social media
972545,Academic & Education,Law,Easy,600,"In a trial, what is the group of ordinary citizens called who listen to evidence and decide the facts of a case?",The Prosecutors,The Jury,The Attorneys,The Bailiffs,The Jury
972545,Academic & Education,Law,Easy,600,"If you have a disagreement with a company over a faulty product you bought, what type of law would typically govern this dispute?",Criminal Law,Constitutional Law,Civil Law,International Law,Civil Law
972545,Academic & Education,Law,Easy,600,What is the main role of a lawyer in representing a client?,To make all decisions for the client without their input,"To provide legal advice, represent the client's interests, and advocate on their behalf in legal matters",To serve as a judge in the courtroom,To enforce laws and arrest criminals,"To provide legal advice, represent the client's interests, and advocate on their behalf in legal matters"
