QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
349702,Technology & Computing,Cyber Security,Easy,600,What is the main goal of cyber security?,To protect data and systems from attack,To build websites,To develop new programming languages,To design video games,To protect data and systems from attack
349702,Technology & Computing,Cyber Security,Easy,600,Which of the following is considered malware?,Firewall,Antivirus software,Trojan horse,VPN,Trojan horse
349702,Technology & Computing,Cyber Security,Easy,600,What does VPN stand for?,Virtual Private Network,Very Protected Network,Verified Personal Node,Virtual Processing Network,Virtual Private Network
349702,Technology & Computing,Cyber Security,Easy,600,Which of the following is used to protect devices from unauthorized access?,Firewall,Wi-Fi router,USB drive,Spreadsheet software,Firewall
349702,Technology & Computing,Cyber Security,Easy,600,What is phishing?,A sport involving catching fish,A cyber attack designed to steal sensitive information,A way to store files online,An encryption method,A cyber attack designed to steal sensitive information
349702,Technology & Computing,Cyber Security,Easy,600,What is the most secure way to create a password?,Using your name and birthdate,"Using long, unique, and random characters",Using dictionary words,Using the same password for every account,"Using long, unique, and random characters"
349702,Technology & Computing,Cyber Security,Easy,600,Which of the following is a cyber security measure?,Installing malware,Using antivirus software,Sharing passwords freely,Leaving software out of date,Using antivirus software
349702,Technology & Computing,Cyber Security,Easy,600,What is two-factor authentication?,Logging in with only a username,Using two passwords for extra security,An additional verification step alongside a password,A method to erase malware,An additional verification step alongside a password
349702,Technology & Computing,Cyber Security,Easy,600,Which of the following can help detect cyber threats?,Antivirus software,Text editors,Computer monitors,Graphics cards,Antivirus software
349702,Technology & Computing,Cyber Security,Easy,600,What is the purpose of encryption?,To speed up internet connections,To convert data to an unreadable format for protection,To remove viruses from computers,To design software applications,To convert data to an unreadable format for protection
