QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
531018,Competitive Exams,Engineering Entrance Exams,Medium,900,What is the SI unit of electrical resistance?,Ohm,Volt,Ampere,Watt,OptionA
531018,Competitive Exams,Engineering Entrance Exams,Medium,900,Which law states that the stress in a body is proportional to the strain it produces?,Bernoulli's Law,Hooke's Law,Newton's Law,Pascal's Law,OptionB
531018,Competitive Exams,Engineering Entrance Exams,Medium,900,What is the dimensional formula of Power?,[M^1L^2T^-2],[M^1L^2T^-3],[M^1L^1T^-2],[M^1L^0T^-2],OptionB
531018,Competitive Exams,Engineering Entrance Exams,Medium,900,"In a human ear, which part is primarily responsible for sound amplification?",Eardrum,Cochlea,Auditory canal,Middle ear,OptionD
531018,Competitive Exams,Engineering Entrance Exams,Medium,900,"For a Carnot engine, what is the relationship between efficiency and temperature?",Efficiency increases with decrease in temperature of sink.,Efficiency decreases with increase in temperature of source.,Efficiency is always independent of temperature.,Efficiency increases with increase in temperature of sink.,OptionA
531018,Competitive Exams,Engineering Entrance Exams,Medium,900,Which material has the highest thermal conductivity?,Copper,Silver,Diamond,Aluminum,OptionC
531018,Competitive Exams,Engineering Entrance Exams,Medium,900,What is the damping force directly proportional to in a damped harmonic oscillator?,Square of velocity,Displacement,Velocity,Acceleration,OptionC
531018,Competitive Exams,Engineering Entrance Exams,Medium,900,Which of the following is NOT a thermodynamic process?,Isobaric process,Isochoric process,Isothermal process,Constant friction process,OptionD
531018,Competitive Exams,Engineering Entrance Exams,Medium,900,What is the unit of magnetic flux?,Weber,Tesla,Henry,Farad,OptionA
531018,Competitive Exams,Engineering Entrance Exams,Medium,900,Which of the following equations represents Bernoulli’s principle?,K.E + P.E = constant,Pressure + 1/2ρv^2 + ρgh = constant,Energy = mass × velocity^2,Force = mass × acceleration,OptionB
