QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
163802,Science & Innovation,Research & Discoveries,Hard,1200,What is the primary mechanism by which CRISPR-Cas9 gene editing works?,By introducing a new gene into an organism's DNA,By cutting the DNA at a specific location using an RNA guide,By mutating existing genes to create new traits,By selectively breeding organisms with desired characteristics,By cutting the DNA at a specific location using an RNA guide
163802,Science & Innovation,Research & Discoveries,Hard,1200,Which of the following is a potential application of induced pluripotent stem cells?,Creating new species of animals,Developing treatments for genetic diseases,Cloning extinct organisms,Generating organs for transplantation,Generating organs for transplantation
163802,Science & Innovation,Research & Discoveries,Hard,1200,"What is the term for the process by which water moves through a plant, from the roots to the leaves, and is then released into the air as water vapor?",Respiration,Photosynthesis,Transpiration,Evaporation,Transpiration
163802,Science & Innovation,Research & Discoveries,Hard,1200,Which scientist is credited with the discovery of the principle of continental drift?,Charles Darwin,Alfred Wegener,James Hutton,Marie Curie,Alfred Wegener
163802,Science & Innovation,Research & Discoveries,Hard,1200,What is the name of the largest known structure in the universe?,The Milky Way galaxy,The observable universe,The Sloan Great Wall,The Hercules-Corona Borealis Great Wall,The Hercules-Corona Borealis Great Wall
163802,Science & Innovation,Research & Discoveries,Hard,1200,What is the term for the study of the shape and structure of the Earth's crust?,Geology,Geomorphology,Tectonics,Seismology,Geomorphology
163802,Science & Innovation,Research & Discoveries,Hard,1200,Which type of rock is formed from the cooling and solidification of magma or lava?,Sedimentary rock,Igneous rock,Metamorphic rock,Foliated rock,Igneous rock
163802,Science & Innovation,Research & Discoveries,Hard,1200,"What is the process by which the universe became transparent to light, occurring about 380,000 years after the Big Bang?",Recombination,Photon decoupling,Cosmic inflation,Dark matter formation,Recombination
163802,Science & Innovation,Research & Discoveries,Hard,1200,Which of the following types of cells is responsible for producing antibodies?,T cells,B cells,Macrophages,Dendritic cells,B cells
163802,Science & Innovation,Research & Discoveries,Hard,1200,What is the term for the movement of tectonic plates that results in the creation of mountains?,Continental rifting,Seafloor spreading,Orogenesis,Subduction,Orogenesis
