QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
449354,Languages,Foreign Languages,Medium,900,What is the French word for 'hello'?,Adiós,Bonjour,Ciao,Konnichiwa,Bonjour
449354,Languages,Foreign Languages,Medium,900,Which of the following is the Spanish word for 'water'?,Fuego,Tierra,Agua,Aire,Agua
449354,Languages,Foreign Languages,Medium,900,What is the German word for 'goodbye'?,Danke,Hallo,Auf Wiedersehen, Bitte,Auf Wiedersehen
449354,Languages,Foreign Languages,Medium,900,Which Italian word means 'thank you'?,Ciao,Grazie,Scusa,Per favore,Grazie
449354,Languages,Foreign Languages,Medium,900,What is the Chinese character for 'love'?,,,,,
449354,Languages,Foreign Languages,Medium,900,What does the Japanese word 'tabemono' mean?,To eat,Food,Drink,To sleep,Food
449354,Languages,Foreign Languages,Medium,900,The Portuguese word 'familia' means?,Friend,Family,House,Car,Family
449354,Languages,Foreign Languages,Medium,900,What is the Korean word for 'yes'?,,,,,
449354,Languages,Foreign Languages,Medium,900,The Russian word 'privyet' means?,Goodbye,Hello,Thank you,How are you?,Hello
449354,Languages,Foreign Languages,Medium,900,"In Arabic, 'merhaba' is used to say?",Goodbye,Hello,Thank you,Yes,Hello
