QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
845788,Languages,Regional Indian Languages,Easy,600,Which of the following languages is spoken in the state of Tamil Nadu?,Telugu,Tamil,Kannada,Malayalam,OptionB
845788,Languages,Regional Indian Languages,Easy,600,The official language of the state of Assam is?,Bengali,Assamese,Gujarati,Odia,OptionB
845788,Languages,Regional Indian Languages,Easy,600,Which language is predominantly spoken in the state of Kerala?,Tamil,Telugu,Malayalam,Kannada,OptionC
845788,Languages,Regional Indian Languages,Easy,600,The primary language spoken in the state of Punjab is?,Gujarati,Punjabi,Hindi,Bengali,OptionB
845788,Languages,Regional Indian Languages,Easy,600,Which of the following is a major language spoken in the state of Odisha?,Assamese,Bengali,Odia,Telugu,OptionC
845788,Languages,Regional Indian Languages,Easy,600,The official language of the state of Andhra Pradesh is?,Tamil,Telugu,Kannada,Malayalam,OptionB
845788,Languages,Regional Indian Languages,Easy,600,Which language is widely spoken in the state of Karnataka?,Tamil,Telugu,Kannada,Marathi,OptionC
845788,Languages,Regional Indian Languages,Easy,600,The primary language of the state of West Bengal is?,Hindi,Bengali,Assamese,Odia,OptionB
845788,Languages,Regional Indian Languages,Easy,600,In which state is Gujarati the primary language spoken?,Gujarat,Maharashtra,Rajasthan,Madhya Pradesh,OptionA
845788,Languages,Regional Indian Languages,Easy,600,The official language of the state of Manipur is?,Manipuri,Assamese,Bengali,Meitei,OptionA
