QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
981101,Lifestyle & Society,Daily Life Skills,Easy,600,What is the primary purpose of a to-do list?,To keep track of expenses,To plan and organize tasks,To schedule appointments,To make travel plans,OptionB
981101,Lifestyle & Society,Daily Life Skills,Easy,600,How often should you wash your hands to maintain hygiene?,Only after using the bathroom,"Frequently throughout the day, especially before eating",Only before bedtime,"Never, it's not necessary",OptionB
981101,Lifestyle & Society,Daily Life Skills,Easy,600,What is a common benefit of meal planning?,Increased food waste,Saving time and money,Reducing exercise routine,Increasing stress levels,OptionB
981101,Lifestyle & Society,Daily Life Skills,Easy,600,Why is it important to label leftovers?,To make them look more appealing,To know what they are and when they were stored,To throw them away easily,To give them as gifts,OptionB
981101,Lifestyle & Society,Daily Life Skills,Easy,600,What should you do if you spill something on the floor?,Leave it for someone else to clean,Clean it up immediately to prevent slipping,Step on it to spread it around,Call a professional to clean it,OptionB
981101,Lifestyle & Society,Daily Life Skills,Easy,600,How can you stay organized when managing multiple tasks?,By doing everything at the last minute,By prioritizing tasks and using a planner or calendar,By delegating all tasks to others,By ignoring less important tasks,OptionB
981101,Lifestyle & Society,Daily Life Skills,Easy,600,What is a good habit to practice for maintaining a clean living space?,Cleaning only when the mess becomes overwhelming,Cleaning a little bit every day,"Never cleaning, it's overrated",Hiring someone to clean for you daily,OptionB
981101,Lifestyle & Society,Daily Life Skills,Easy,600,Why is budgeting important?,To track expenses and manage finances effectively,To spend more money,To ignore financial responsibilities,To save money for unnecessary items,OptionA
981101,Lifestyle & Society,Daily Life Skills,Easy,600,What is a simple way to reduce waste at home?,Using single-use plastics,Buying in bulk and using reusable bags and containers,Recycling all materials regardless of contamination,Throwing everything away,OptionB
981101,Lifestyle & Society,Daily Life Skills,Easy,600,How can you ensure your personal safety when walking alone at night?,Wearing headphones and avoiding eye contact,Staying on well-lit paths and being aware of surroundings,Taking a shortcut through a dimly lit alley,Walking as slowly as possible,OptionB
