QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
584336,Competitive Exams,Engineering Entrance Exams,Hard,1200,"A 3-phase induction motor draws 30 kW at 0.8 power factor lagging from a 400 V supply. If the motor efficiency is 85%, what is the mechanical output power developed?",21.5 kW,22.8 kW,24.36 kW,25.5 kW,25.5 kW
584336,Competitive Exams,Engineering Entrance Exams,Hard,1200,"In the Rankine cycle, if the enthalpy at turbine inlet and outlet are 3200 kJ/kg and 2200 kJ/kg respectively, and the pump work is 20 kJ/kg, what is the specific work output of the cycle?",980 kJ/kg,1000 kJ/kg,1020 kJ/kg,1180 kJ/kg,980 kJ/kg
584336,Competitive Exams,Engineering Entrance Exams,Hard,1200,"A simply supported beam of span 6 m carries a point load of 24 kN at mid-span. If the allowable bending stress is 150 MPa and the section modulus is 240,000 mm³, the maximum permissible load with a factor of safety 1.5 is:",36 kN,32 kN,30 kN,28 kN,30 kN
584336,Competitive Exams,Engineering Entrance Exams,Hard,1200,"For a heat engine operating between temperatures of 1000 K and 400 K, the theoretical maximum efficiency is:",40%,50%,60%,70%,60%
584336,Competitive Exams,Engineering Entrance Exams,Hard,1200,A hollow shaft of external diameter 100 mm and internal diameter 80 mm is subjected to a twisting moment of 8 kNm. The maximum shear stress developed in the shaft is approximately:,42.5 MPa,45.8 MPa,48.3 MPa,52.6 MPa,48.3 MPa
584336,Competitive Exams,Engineering Entrance Exams,Hard,1200,The bending moment at mid-span of a simply supported beam of length 4 m carrying a uniformly distributed load of 8 kN/m is:,8 kNm,12 kNm,16 kNm,20 kNm,16 kNm
584336,Competitive Exams,Engineering Entrance Exams,Hard,1200,"A single-phase transformer has a primary voltage of 11 kV and secondary voltage of 440 V. If the primary winding has 1000 turns, the number of turns in the secondary winding is:",40,50,55,60,40
584336,Competitive Exams,Engineering Entrance Exams,Hard,1200,The deflection at the free end of a cantilever beam of length L carrying a point load P at the free end is (EI = flexural rigidity):,PL/(3EI),PL^3/(3EI),PL^2/(3EI),PL^3/(6EI),PL^3/(3EI)
584336,Competitive Exams,Engineering Entrance Exams,Hard,1200,"A nozzle expands steam from 10 bar, 250°C to 1 bar. If the initial velocity is negligible and the expansion is isentropic, what is the exit velocity? (Use steam tables: h₁ = 2945 kJ/kg, s₁ = 6.925 kJ/kg·K, h₂ = 2585 kJ/kg)",718 m/s,778 m/s,848 m/s,898 m/s,848 m/s
584336,Competitive Exams,Engineering Entrance Exams,Hard,1200,"If the pressure ratio of a Brayton cycle is 8 and the maximum temperature is 1200 K with inlet temperature 300 K, the cycle efficiency is: (γ = 1.4 for air)",35.6%,42.3%,44.8%,48.2%,44.8%
