QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
476731,Competitive Exams,Teaching Eligibility Exams,Hard,1200,Which of the following strategies is most effective for differentiated instruction in a diverse classroom?,Using uniform lesson plans for all students,Encouraging peer tutoring and group work,Giving standardized tests to assess learning outcomes,Providing identical resources to every student,OptionB
476731,Competitive Exams,Teaching Eligibility Exams,Hard,1200,"In Bloom’s Taxonomy, which domain primarily focuses on the emotional aspects of learning?",Cognitive Domain,Psychomotor Domain,Affective Domain,Social Domain,OptionC
476731,Competitive Exams,Teaching Eligibility Exams,Hard,1200,What is the primary purpose of formative assessment in learning?,To evaluate students for certification,To guide teaching and learning improvements,To compare students’ performances,To assign grades based on their performance,OptionB
476731,Competitive Exams,Teaching Eligibility Exams,Hard,1200,"The Right to Education Act, 2009 provides free and compulsory education to children in which age group in India?",6-18 years,6-14 years,4-10 years,8-12 years,OptionB
476731,Competitive Exams,Teaching Eligibility Exams,Hard,1200,Which of the following terms refers to a child’s ability to construct understanding by interacting with their environment?,Operant Conditioning,Discovery Learning,Constructivism,Classical Conditioning,OptionC
476731,Competitive Exams,Teaching Eligibility Exams,Hard,1200,Which theorist is associated with the concept of social learning through observation?,Jean Piaget,John Dewey,Albert Bandura,Lev Vygotsky,OptionC
476731,Competitive Exams,Teaching Eligibility Exams,Hard,1200,What is the ideal teacher-student ratio recommended to ensure effective teaching-learning in classrooms?,1:60,1:30,1:50,1:40,OptionB
476731,Competitive Exams,Teaching Eligibility Exams,Hard,1200,Inclusive education primarily emphasizes on:,Providing separate classes for special needs students,Integrating all students in mainstream schools,Creating special schools for the underprivileged,Focusing solely on academic achievements,OptionB
476731,Competitive Exams,Teaching Eligibility Exams,Hard,1200,Which teaching method best supports students with different learning styles?,Direct instruction only,Rigid textbook-based teaching,Multi-sensory approach,Traditional lecture-based learning,OptionC
476731,Competitive Exams,Teaching Eligibility Exams,Hard,1200,What role does 'reflective practice' play in a teacher’s professional development?,Encourages repetitive teaching without innovation,Helps improve teaching strategies and effectiveness,Eliminates the need for feedback from students,Focuses only on curriculum-related activities,OptionB
