QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
992581,Health & Medicine,Nutrition & Fitness,Medium,900,What is the primary source of energy for the human body?,Protein,Carbohydrates,Fats,Fiber,Carbohydrates
992581,Health & Medicine,Nutrition & Fitness,Medium,900,Which of the following vitamins is essential for healthy bones?,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Vitamin D
992581,Health & Medicine,Nutrition & Fitness,Medium,900,What is the recommended daily intake of water for an adult?,2 liters,3 liters,4 liters,8-10 glasses,8-10 glasses
992581,Health & Medicine,Nutrition & Fitness,Medium,900,Which type of exercise is best for improving cardiovascular health?,Resistance training,High-intensity interval training,Yoga,Aerobic exercise,Aerobic exercise
992581,Health & Medicine,Nutrition & Fitness,Medium,900,What is the term for the study of the relationship between diet and disease?,Nutrition,Epidemiology,Nutrigenomics,Nutritional epidemiology,Nutritional epidemiology
992581,Health & Medicine,Nutrition & Fitness,Medium,900,Which nutrient is essential for healthy red blood cells?,Iron,Calcium,Vitamin B12,Folate,Iron
992581,Health & Medicine,Nutrition & Fitness,Medium,900,What is the recommended amount of daily fiber intake for an adult?,10-15 grams,25-30 grams,35-40 grams,45-50 grams,25-30 grams
992581,Health & Medicine,Nutrition & Fitness,Medium,900,Which type of fat is considered healthy?,Saturated fat,Trans fat,Monounsaturated fat,Polyunsaturated fat,Monounsaturated fat
992581,Health & Medicine,Nutrition & Fitness,Medium,900,What is the term for the condition of being severely underweight?, Obesity,Overweight,Cachexia,Anorexia nervosa,Cachexia
992581,Health & Medicine,Nutrition & Fitness,Medium,900,Which of the following is a benefit of regular physical activity?,Increased risk of chronic disease,Weight gain,Improved mental health,Decreased bone density,Improved mental health
