QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
493624,General Knowledge,World Affairs,Medium,900,Which country is the largest by land area?,China,Canada,Russia,United States,C
493624,General Knowledge,World Affairs,Medium,900,The European Union was formally established by which treaty?,Treaty of Rome,Maastricht Treaty,Treaty of Paris,Treaty of Lisbon,B
493624,General Knowledge,World Affairs,Medium,900,Which country is NOT a permanent member of the UN Security Council?,Germany,Russia,France,China,A
493624,General Knowledge,World Affairs,Medium,900,The Kyoto Protocol primarily addresses which global issue?,Nuclear proliferation,Marine pollution,Climate change,Refugee crises,C
493624,General Knowledge,World Affairs,Medium,900,Which country spans territory in both Asia and Europe?,Saudi Arabia,Egypt,Turkey,Iraq,C
493624,General Knowledge,World Affairs,Medium,900,The term 'Brexit' refers to the departure of which nation from the EU?,Greece,United Kingdom,Italy,France,B
493624,General Knowledge,World Affairs,Medium,900,Which organization hosts the annual meeting of global leaders in Davos?,World Bank,G7 Summit,United Nations,World Economic Forum,D
493624,General Knowledge,World Affairs,Medium,900,Which country is the world's largest democracy by population?,Indonesia,United States,India,Brazil,C
493624,General Knowledge,World Affairs,Medium,900,The International Criminal Court (ICC) is headquartered in which city?,New York,Vienna,The Hague,Geneva,C
493624,General Knowledge,World Affairs,Medium,900,Which of these countries is landlocked?,Australia,Philippines,Bolivia,Brazil,C
