QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
497376,Competitive Exams,Engineering Entrance Exams,Easy,600,What is the SI unit of electric current?,Volt,Ohm,Ampere,Watt,Ampere
497376,Competitive Exams,Engineering Entrance Exams,Easy,600,Which of the following is a renewable energy source?,Coal,Natural Gas,Petroleum,Solar Power,Solar Power
497376,Competitive Exams,Engineering Entrance Exams,Easy,600,What is the chemical symbol for water?,CO2,NaCl,H2O,O2,H2O
497376,Competitive Exams,Engineering Entrance Exams,Easy,600,Which gas is most abundant in the Earth's atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Nitrogen
497376,Competitive Exams,Engineering Entrance Exams,Easy,600,What is the value of sin(90°)?,0,1,0.5,√2/2,1
497376,Competitive Exams,Engineering Entrance Exams,Easy,600,What is the study of plants called?,Zoology,Botany,Geology,Astronomy,Botany
497376,Competitive Exams,Engineering Entrance Exams,Easy,600,What is the formula for area of a rectangle?,πr²,l x w,½ x b x h,s²,l x w
497376,Competitive Exams,Engineering Entrance Exams,Easy,600,Which of these is a metalloid?,Iron,Gold,Silicon,Copper,Silicon
497376,Competitive Exams,Engineering Entrance Exams,Easy,600,What is the process by which plants make their food?,Respiration,Transpiration,Photosynthesis,Digestion,Photosynthesis
497376,Competitive Exams,Engineering Entrance Exams,Easy,600,What does RAM stand for in computing?,Readily Available Memory,Random Access Memory,Read Access Memory,Recent Application Memory,Random Access Memory
