QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
140302,Lifestyle & Society,Relationships,Hard,1200,What is the term for a marital relationship in which both partners agree to accept and tolerate each other's infidelity?,Monogamy,Polygamy,Open Marriage,Consensual Non-Monogamy,Consensual Non-Monogamy
140302,Lifestyle & Society,Relationships,Hard,1200,Which of the following is a common challenge faced by couples in long-distance relationships?,Increased trust,Improved conflict resolution,Trust issues and communication breakdown,Financial stability,Trust issues and communication breakdown
140302,Lifestyle & Society,Relationships,Hard,1200,The concept of 'emotional labor' in relationships refers to:,The division of household chores,The effort required to manage one's own emotions,The management of a partner's emotions,Both B and C,Both B and C
140302,Lifestyle & Society,Relationships,Hard,1200,What is the term for a relationship in which one partner has significant power and control over the other?,Codependency,Interdependence,Power imbalance,Toxic relationship,Power imbalance
140302,Lifestyle & Society,Relationships,Hard,1200,Research has shown that couples who engage in regular date nights tend to have:,Higher conflict rates,Lower relationship satisfaction,Higher relationship satisfaction,No significant difference in relationship satisfaction,Higher relationship satisfaction
140302,Lifestyle & Society,Relationships,Hard,1200,What is the term for the feeling of being disconnected from one's partner and experiencing a lack of emotional intimacy?,Emotional disconnection,Emotional isolation,Emotional exhaustion,Emotional numbness,Emotional disconnection
140302,Lifestyle & Society,Relationships,Hard,1200,Couples therapy is most effective when:,One partner is committed to changing the other,Both partners are equally committed to the therapy,The therapist takes a neutral stance,The therapy is focused on identifying 'right' and 'wrong',Both partners are equally committed to the therapy
140302,Lifestyle & Society,Relationships,Hard,1200,The 'triangular theory of love' proposes that love consists of three components:,"Intimacy, passion, and commitment","Trust, communication, and conflict resolution","Emotional intelligence, empathy, and attachment","Romance, affection, and loyalty","Intimacy, passion, and commitment"
140302,Lifestyle & Society,Relationships,Hard,1200,"What is the term for the tendency to prioritize one's partner's needs over one's own, often to the point of self-sacrifice?",Altruism,Codependency,Selflessness,People-pleasing,Codependency
140302,Lifestyle & Society,Relationships,Hard,1200,Research has shown that conflict in relationships can be beneficial when it is:,Avoided at all costs,Managed constructively,Used as a means of asserting power,Focused on 'winning' the argument,Managed constructively
