QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
381685,Fun & Casual,Brain Games,Hard,1200,Which of these online games was originally named LindenWorld in it's early development?,HabboHotel,IMVU,ActiveWorlds,SecondLife,SecondLife
381685,Fun & Casual,Brain Games,Hard,1200,"In the game Call of Duty, what is the last level where you play as an American soldier?",Festung Recogne,Ste. Mere-Eglise (Day),Brecourt,Chateau,Festung Recogne
381685,Fun & Casual,Brain Games,Hard,1200,"Which gaming series includes ""The Diabolical Box"" and ""The Curious Village""?",Professor Layton,Persona,Etrian Odyssey,Sam & Max,Professor Layton
381685,Fun & Casual,Brain Games,Hard,1200,Which of these TrackMania environments was NOT in the original game?,Snow,Rally,Desert,Bay,Bay
381685,Fun & Casual,Brain Games,Hard,1200,"In ""Starbound"", what is the max HP of the monster ""Punchy""?","50,000 HP",100 HP,"150,000 HP","9,000,000 HP","50,000 HP"
381685,Fun & Casual,Brain Games,Hard,1200,In the original DOOM (1993) which of the following is NOT a cheat code?,IDFA,IDDQD,IDSPISPOPD,IDCLIP,IDCLIP
381685,Fun & Casual,Brain Games,Hard,1200,"In the Zombies mode of ""Call of Duty: Black Ops"", what is the ""Pack-A-Punched"" version of the ""Galil"" called?",Galvanized Atomic Lead Insertion Liquidator,Predictive Death Wish,Gabig,Lamentation,Lamentation
381685,Fun & Casual,Brain Games,Hard,1200,"In ""The Witness"", how many lasers must be activated to get into the mountain area?",7,12,5,8,7
381685,Fun & Casual,Brain Games,Hard,1200,"In ""Call Of Duty: Zombies"", which weapon does NOT deal any damage?",Sliquifier,V-R11,Wunderwaffe DG-2,31-79 JGb215,31-79 JGb215
381685,Fun & Casual,Brain Games,Hard,1200,Which variant of the MP5 is depicted in Counter-Strike 1.6?,MP5SD,MP5N,MP5RAS,MP5K,MP5N
