QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
804627,Languages,Hindi,Hard,1200,What is the meaning of the Hindi word 'कृतज्ञ'?,Grateful,Faithful,Loyal,Hopeful,A
804627,Languages,Hindi,Hard,1200,Which of the following Hindi poets is known for his 'Chhayavad' style?,Maithili Sharan Gupt,Nirala,Kabir Das,Tulsidas,B
804627,Languages,Hindi,Hard,1200,The Hindi word 'सूर्योदय' means?,Sunset,Sunrise,Moonrise,Dawn,B
804627,Languages,Hindi,Hard,1200,Who is the author of the famous Hindi novel 'Godaan'?,Premchand,Rabindranath Tagore,Bankim Chandra Chattopadhyay,Bhisham Sahni,A
804627,Languages,Hindi,Hard,1200,The term 'भाषा' in Hindi refers to?,Literature,Language,Grammar,Poetry,B
804627,Languages,Hindi,Hard,1200,Which case is indicated by the postposition 'को' in Hindi?,Nominative,Accusative/Dative,Instrumental,Genitive,B
804627,Languages,Hindi,Hard,1200,The Hindi term for ' Translation' is?,अनुवाद,भाषांतर,अनुसरण,व्याख्या,A
804627,Languages,Hindi,Hard,1200,Who is known as the 'Shakespeare of Hindi Literature'?,Kalidas,Tulsidas,Surdas,Bhisham Sahni,B
804627,Languages,Hindi,Hard,1200,The word 'स्वागत' is used to?,Bid farewell,Welcome someone,Introduce oneself,Take leave,B
804627,Languages,Hindi,Hard,1200,The Hindi term 'साहित्यकार' refers to?,A poet,A writer or a literary person,A linguist,A grammarian,B
