QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
178035,Business & Finance,Finance & Accounting,Medium,900,What is the primary principle behind the time value of money?,Future value is always greater than present value.,A dollar today is worth more than a dollar in the future because it can earn interest.,Time does not affect the value of money.,Inflation increases the present value of money.,OptionB
178035,Business & Finance,Finance & Accounting,Medium,900,Which method of depreciation accelerates the recognition of expenses over the asset's life?,Straight-line method,Units-of-production method,Double-declining balance method,Sum-of-the-years'-digits method,OptionC
178035,Business & Finance,Finance & Accounting,Medium,900,What is the formula for the debt-to-equity ratio?,Current Assets / Current Liabilities,Net Income / Total Equity,Total Assets / Total Liabilities,Total Debt / Shareholders' Equity,OptionD
178035,Business & Finance,Finance & Accounting,Medium,900,"At the break-even point in a business, what is true?",Total revenues equal total costs.,Profits are maximized.,Fixed costs exceed variable costs.,Sales volume is at its highest.,OptionA
178035,Business & Finance,Finance & Accounting,Medium,900,"Under the FIFO inventory valuation method, which inventory is assumed to be sold first?",The most recently purchased inventory.,The oldest inventory in stock.,Inventory with the highest cost basis.,Inventory purchased at the average cost.,OptionB
178035,Business & Finance,Finance & Accounting,Medium,900,A positive Net Present Value (NPV) in capital budgeting indicates what?,The project should be rejected due to high risk.,The project breaks even on cash flows.,The project is expected to add value greater than the cost of capital.,The internal rate of return is below the discount rate.,OptionC
178035,Business & Finance,Finance & Accounting,Medium,900,What is the main purpose of the statement of cash flows in financial reporting?,To show the company's profitability over a period.,To detail changes in equity holdings.,To report on long-term investments.,To summarize how a company generates and uses cash.,OptionD
178035,Business & Finance,Finance & Accounting,Medium,900,What factor primarily affects the price of a bond in the market?,Interest rates,Stock market indices,Company dividend payments,Inflation rates directly,OptionA
178035,Business & Finance,Finance & Accounting,Medium,900,What defines a zero-based budgeting approach?,A budget that assumes no change from the previous year.,A method where every expense must be justified from zero each period.,A budget focused solely on fixed costs.,A budget that always results in a surplus.,OptionB
178035,Business & Finance,Finance & Accounting,Medium,900,"According to basic finance theory, what is the general relationship between risk and return for investments?",Higher risk guarantees lower returns.,Risk and return have no correlation.,Higher risk is typically associated with higher potential returns.,Lower risk always leads to higher returns.,OptionC
