QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
676691,Logical & Aptitude Reasoning,Puzzles & Brain Teasers,Hard,1200,"You are in a room with three light switches. Each switch corresponds to one of three light bulbs in a room. Each light bulb is either on or off. You can turn the lights on and off as many times as you want, but you can only enter the room one time to observe the light bulbs. How can you figure out which switch controls which light bulb?","Turn two of the switches on, wait for a few minutes, and then turn one off. Observe the light bulbs.","Turn one switch on, wait for a few minutes, and then turn it off. Turn another switch on and enter the room.","Turn two of the switches on and off in sequence, and then enter the room.","Turn one switch on for 5 minutes, turn it off, and turn on the 2nd switch for 1 minute. Then turn on the 3rd switch and enter the room.",OptionD
676691,Logical & Aptitude Reasoning,Puzzles & Brain Teasers,Hard,1200,"A snail is at the bottom of a 20-foot well. Each day, it climbs up 3 feet, but at night, it slips back 2 feet. How many days will it take for the snail to reach the top of the well?",18 days,20 days,22 days,28 days,OptionC
676691,Logical & Aptitude Reasoning,Puzzles & Brain Teasers,Hard,1200,"There are three switches, but they are not labelled. Each switch corresponds to one of three casinos: one that always tells the truth, one that always lies, and one that randomly tells the truth or lies. You can ask one question to one of the switch/casino keepers. What question should you ask to ensure you can identify the truth-telling casino?","If I were to ask your friend, which casino would they say is the truth-telling casino?",Does your casino always tell the truth?,Are you the keeper of the truthful casino?,Is the random casino to your left?,OptionA
676691,Logical & Aptitude Reasoning,Puzzles & Brain Teasers,Hard,1200,A woman has two coins that add up to 30 cents. One coin is not a nickel. What are the two coins?,Quarter and nickel,Dime and dime,Quarter and quarter,Nickel and nickel,OptionA
676691,Logical & Aptitude Reasoning,Puzzles & Brain Teasers,Hard,1200,"You are standing in a room with two doors. One door leads to certain death, and the other leads to freedom. There are two guards, one standing in front of each door. One guard always tells the truth, and the other guard always lies. You don't know which guard is which or which door leads to freedom. You can ask one question to one guard. What question should you ask to ensure you choose the door to freedom?","If I were to ask your fellow guard which door leads to freedom, what would they say?",Which door would your fellow guard say leads to freedom?,Do you always tell the truth?,Does the door to freedom lead to the left?,OptionA
676691,Logical & Aptitude Reasoning,Puzzles & Brain Teasers,Hard,1200,A bat and a ball together cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,$0.04,$0.05,$0.10,$0.20,OptionB
676691,Logical & Aptitude Reasoning,Puzzles & Brain Teasers,Hard,1200,"What can be broken, but never held?",A promise,A light bulb,A glass,A mirror,OptionA
676691,Logical & Aptitude Reasoning,Puzzles & Brain Teasers,Hard,1200,"You have 8 balls, one of which is slightly heavier or lighter than the others. How can you find the heavier or lighter ball using a balance scale and only 2 weighings?","Weigh 3 balls against 3 balls. If balanced, weigh 2 of the remaining balls against each other.","Weigh 4 balls against 4 balls. If balanced, weigh 2 of the remaining balls against each other and then one of those against a known normal ball.","Weigh 2 balls against 2 balls. If balanced, weigh the remaining balls against each other.","Weigh 3 balls against 3 balls. If not balanced, weigh the heavier side against a known normal ball.",OptionA
676691,Logical & Aptitude Reasoning,Puzzles & Brain Teasers,Hard,1200,"What has a head, a tail, but no body?",A stamp,A coin,A pencil,A snake,OptionB
676691,Logical & Aptitude Reasoning,Puzzles & Brain Teasers,Hard,1200,"You have 3 jars, one containing only red marbles, one containing only blue marbles, and one containing a mix of red and blue marbles. However, the jars are incorrectly labelled. How can you, by only taking one marble from one jar, figure out the correct label for each jar?","Take a marble from the jar labelled 'mix'. If it's red, swap the labels on the other two jars.","Take a marble from the jar labelled 'red'. If it's blue, swap the labels on the other two jars.","Take a marble from the jar labelled 'blue'. If it's red, swap the labels on the other two jars.","Take a marble from the jar labelled 'mix'. If it's blue, label one of the other jars 'red'. Take a marble from the remaining jar and label it 'blue'.",OptionA
