QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
539956,Gaming,Game Lore,Hard,1200,"In the Portal series, what is the name of the artificially intelligent computer system that guides the player through Aperture Science?",GLaDOS,SHODAN,HAL 9000,KITT,GLaDOS
539956,Gaming,Game Lore,Hard,1200,What is the name of the fictional world in which The Elder Scrolls V: Skyrim takes place?,Nirn,Tamriel,Morrowind,Cyrodiil,Tamriel
539956,Gaming,Game Lore,Hard,1200,"In the Mass Effect series, what is the name of the artificial intelligence that assists Commander Shepard?",EDI,Cortana,GLaDOS,Liara T'Soni,EDI
539956,Gaming,Game Lore,Hard,1200,What is the name of the final boss in the game 'Dark Souls'?,"Gwyn, Lord of Cinder","Manus, Father of the Abyss",Ornstein and Smough,The Bed of Chaos,"Gwyn, Lord of Cinder"
539956,Gaming,Game Lore,Hard,1200,"In the 'Halo' series, what is the name of the human artificial intelligence that assists Master Chief?",Cortana,Serina,Iris,EDI,Cortana
539956,Gaming,Game Lore,Hard,1200,What is the name of the planet where the game 'Red Faction: Guerrilla' takes place?,Earth,Mars,Eos,Triton,Mars
539956,Gaming,Game Lore,Hard,1200,"In the 'Deus Ex' series, what is the name of the protagonist in 'Deus Ex: Human Revolution'?",Adam Jensen,JC Denton,Alex Denton,Ben Saxon,Adam Jensen
539956,Gaming,Game Lore,Hard,1200,What is the name of the main antagonist in 'The Legend of Zelda: Ocarina of Time'?,Ganondorf,Zant,Ghirahim,Demise,Ganondorf
539956,Gaming,Game Lore,Hard,1200,"In 'BioShock', what is the name of the underwater city where the game takes place?",Rapture,Arcadia,Elysium,Columbia,Rapture
539956,Gaming,Game Lore,Hard,1200,"In 'Fallout 3', what is the name of the capital of the Capital Wasteland?",Washington D.C.,Megaton,Rivet City,New Vegas,Megaton
