QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
765929,Technology & Computing,Web Development,Easy,600,What does HTML stand for?,Hyper Text Markup Language,Home Tool Markup Language,Hyperlinks Text Markup Language,High-level Text Management Language,Hyper Text Markup Language
765929,Technology & Computing,Web Development,Easy,600,Which technology is used for styling web pages?,JavaScript,CSS,SQL,Python,CSS
765929,Technology & Computing,Web Development,Easy,600,Which tag is used to create a hyperlink in HTML?,<a>,<h1>,<link>,<img>,<a>
765929,Technology & Computing,Web Development,Easy,600,What does CSS stand for?,Cascading Style Sheets,Computer Style Sheets,Creative Style Sheets,Content Styling System,Cascading Style Sheets
765929,Technology & Computing,Web Development,Easy,600,Which programming language runs on the browser for client-side interactivity?,Java,Python,JavaScript,PHP,JavaScript
765929,Technology & Computing,Web Development,Easy,600,What is the correct syntax for including an external JavaScript file?,<script link='script.js'></script>,<script src='script.js'></script>,<script href='script.js'></script>,<script url='script.js'></script>,<script src='script.js'></script>
765929,Technology & Computing,Web Development,Easy,600,Which HTML tag is used to display images?,<picture>,<img>,<src>,<image>,<img>
765929,Technology & Computing,Web Development,Easy,600,Which protocol is used to serve web pages securely?,HTTP,HTTPS,FTP,SSL,HTTPS
765929,Technology & Computing,Web Development,Easy,600,What does the <br> tag do in HTML?,Makes text bold,Creates a horizontal line,Adds a line break,Indents text,Adds a line break
765929,Technology & Computing,Web Development,Easy,600,Which HTML element is used for the largest heading?,<h6>,<h1>,<header>,<heading>,<h1>
