QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
219928,Health & Medicine,First Aid & Emergency Care,Easy,600,What is the first step in providing first aid to someone who is unconscious?,Call emergency services,"Check their airway, breathing, and circulation",Perform CPR,Apply a tourniquet,OptionB
219928,Health & Medicine,First Aid & Emergency Care,Easy,600,What should you do if someone is bleeding heavily from a cut?,Apply a bandage,Elevate the injured limb,Apply direct pressure to the wound,Use a tourniquet,OptionC
219928,Health & Medicine,First Aid & Emergency Care,Easy,600,What is the purpose of the recovery position in first aid?,To help the person breathe,To stop bleeding,To relieve pain,To prevent choking on vomit,OptionD
219928,Health & Medicine,First Aid & Emergency Care,Easy,600,How often should you perform CPR compressions on an adult?,30 compressions per minute,100-120 compressions per minute,50 compressions per minute,20 compressions per minute,OptionB
219928,Health & Medicine,First Aid & Emergency Care,Easy,600,What should you do if someone is having an allergic reaction?,Give them an antihistamine,Call emergency services,Apply a cold compress,Provide them with water,OptionB
219928,Health & Medicine,First Aid & Emergency Care,Easy,600,What is the best way to cool someone who has heat exhaustion?,Give them cold water to drink,Remove excess clothing and fan them,Apply ice packs to their body,Use a warm blanket to keep them warm,OptionB
219928,Health & Medicine,First Aid & Emergency Care,Easy,600,What should you do if someone's heart stops beating?,Start CPR immediately,Call emergency services and wait for help,Apply a defibrillator,Give them mouth-to-mouth resuscitation,OptionA
219928,Health & Medicine,First Aid & Emergency Care,Easy,600,How can you prevent infection when treating a wound?,Wash your hands with soap and water,Use antibiotic ointment,Apply a bandage,Use a needle to drain the wound,OptionA
219928,Health & Medicine,First Aid & Emergency Care,Easy,600,What is the best way to treat a minor burn?,Apply ice to the burn,Use a topical antibiotic ointment,Run cool tap water over the burn,Apply a heat pack to the burn,OptionC
219928,Health & Medicine,First Aid & Emergency Care,Easy,600,What should you do if someone is experiencing a seizure?,Try to restrain them,Loosen any tight clothing around their neck,Give them medication,Call emergency services and wait for help,OptionB
