QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
577748,Business & Finance,Stock Market,Hard,1200,"According to the Efficient Market Hypothesis, which form assumes that stock prices reflect all publicly available information?",Weak form,Semi-strong form,Strong form,Random walk theory,B
577748,Business & Finance,Stock Market,Hard,1200,"In the Capital Asset Pricing Model (CAPM), what is the expected return of a security equal to?",Beta plus risk-free rate,Market return minus beta,Risk-free rate plus beta times market risk premium,Alpha plus beta,C
577748,Business & Finance,Stock Market,Hard,1200,What is a call option in the stock market?,An obligation to buy an asset,A futures contract,The right to sell an asset at a specified price,The right to buy an asset at a specified price,D
577748,Business & Finance,Stock Market,Hard,1200,What was the primary cause of the 1987 stock market crash known as Black Monday?,Program trading and portfolio insurance strategies,Overvaluation of stocks due to irrational exuberance,Interest rate hikes by the Federal Reserve,Geopolitical events,A
577748,Business & Finance,Stock Market,Hard,1200,What does the Relative Strength Index (RSI) measure in technical analysis?,The volatility of a stock,The moving average convergence,The magnitude of recent price changes,The dividend yield trend,C
577748,Business & Finance,Stock Market,Hard,1200,What is confirmation bias in the context of investing?,Overreacting to new information,The tendency to search for or interpret information that confirms one's preconceptions,Ignoring sunk costs,Following the herd mentality,B
577748,Business & Finance,Stock Market,Hard,1200,What does a stock's beta coefficient indicate?,The stock's total risk,The stock's expected return,The stock's dividend growth rate,The stock's sensitivity to market movements,D
577748,Business & Finance,Stock Market,Hard,1200,Which stock market index is calculated using a free-float market capitalization method?,Dow Jones Industrial Average,FTSE 100,S&P 500,NASDAQ Composite,C
577748,Business & Finance,Stock Market,Hard,1200,What is the main purpose of insider trading regulations?,To ensure equal access to information for all investors,To maximize corporate profits,To reduce market volatility,To encourage short-term trading,A
577748,Business & Finance,Stock Market,Hard,1200,What is high-frequency trading (HFT) primarily characterized by?,Long-term investment strategies,Manual trading by humans,Focus on penny stocks,Use of algorithms to execute a large number of orders at very high speeds,D
