QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
744044,Academic & Education,Commerce & Management,Easy,600,What is the primary objective of most for-profit businesses?,Social welfare,Environmental sustainability,Profit maximization,Employee happiness,Profit maximization
744044,Academic & Education,Commerce & Management,Easy,600,Which of the following is NOT considered one of the four basic functions of management?,Planning,Organizing,Selling,Controlling,Selling
744044,Academic & Education,Commerce & Management,Easy,600,"In accounting, what are the economic resources owned by a business that are expected to provide future benefit?",Liabilities,Expenses,Assets,Equity,Assets
744044,Academic & Education,Commerce & Management,Easy,600,Which of the following is one of the '4 Ps' of the marketing mix?,People,Process,Place,Patience,Place
744044,Academic & Education,Commerce & Management,Easy,600,A business structure owned and operated by a single individual is called a:,Partnership,Corporation,Sole Proprietorship,Cooperative,Sole Proprietorship
744044,Academic & Education,Commerce & Management,Easy,600,"The process of attracting, developing, and maintaining a high-quality workforce is known as:",Financial Management,Operations Management,Human Resource Management,Marketing Management,Human Resource Management
744044,Academic & Education,Commerce & Management,Easy,600,What term describes the amount of a good or service that consumers are willing and able to purchase at a given price?,Supply,Demand,Equilibrium,Scarcity,Demand
744044,Academic & Education,Commerce & Management,Easy,600,Funds contributed by the owners of a company are generally referred to as:,Debt Capital,Equity Capital,Working Capital,Venture Capital,Equity Capital
744044,Academic & Education,Commerce & Management,Easy,600,The moral principles and values that guide decision-making and behavior in business are known as:,Strategic Planning,Business Ethics,Risk Management,Market Research,Business Ethics
744044,Academic & Education,Commerce & Management,Easy,600,"An individual who starts a new business, taking on financial risks in the hope of profit, is called an:",Employee,Manager,Entrepreneur,Investor,Entrepreneur
