QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
681828,Coding & Interview Prep,HR Interview Questions,Easy,600,What is the purpose of an HR interview during a coding job selection process?,Assess core technical skills,Evaluate communication and personality,Test typing speed,Measure mathematical ability,OptionB
681828,Coding & Interview Prep,HR Interview Questions,Easy,600,Which is a common question in HR interviews?,Describe a challenge you overcame at work.,What is your favorite programming language?,Explain merge sort algorithm.,What is the time complexity of binary search?,OptionA
681828,Coding & Interview Prep,HR Interview Questions,Easy,600,How should you respond if asked about your weaknesses in an HR interview?,I don’t have any weaknesses.,Share a weakness and mention how you are working to improve it.,Ignore the question.,Blame someone else.,OptionB
681828,Coding & Interview Prep,HR Interview Questions,Easy,600,Which attitude is generally appreciated in HR interviews?,Arrogance,Dismissiveness,Politeness,Overconfidence,OptionC
681828,Coding & Interview Prep,HR Interview Questions,Easy,600,"In an HR interview, what does 'Tell me about yourself' typically refer to?",Your favorite color,Your professional background and interests,Your family's history,Your salary expectations,OptionB
681828,Coding & Interview Prep,HR Interview Questions,Easy,600,What is a good way to show interest in a company during an HR interview?,Asking thoughtful questions about company culture,Criticizing their competitors,Staying silent during the interview,Boasting about your skills,OptionA
681828,Coding & Interview Prep,HR Interview Questions,Easy,600,Which factor is usually NOT evaluated in an HR interview?,Personality fit,Team collaboration skills,Knowledge of company policies,Advanced coding knowledge,OptionD
681828,Coding & Interview Prep,HR Interview Questions,Easy,600,"When asked 'Why do you want to join this company?' in an HR interview, what should your answer demonstrate?",Personal motivation and alignment with company values,Interest in getting a higher salary,Dislike for previous employer,Random choice,OptionA
681828,Coding & Interview Prep,HR Interview Questions,Easy,600,"If you do not know the answer to a question in an HR interview, what should you do?",Make up an answer,Admit you don’t know and show willingness to learn,Ignore the question,Change the subject,OptionB
681828,Coding & Interview Prep,HR Interview Questions,Easy,600,What is an HR interviewer likely to evaluate when asking about how you handle conflict?,Your coding speed,Your ability to resolve interpersonal issues professionally,Your favorite hobbies,Your command of a foreign language,OptionB
