QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
918463,General Knowledge,Geography,Easy,600,The longest shared border in the world can be found between which two nations?,Canada and the United States,Chile and Argentina,Russia and China,India and Pakistan,Canada and the United States
918463,General Knowledge,Geography,Easy,600,What is the only state in the United States that does not have a flag in a shape with 4 edges?,New Mexico,Idaho,Florida,Ohio,Ohio
918463,General Knowledge,Geography,Easy,600,How many time zones does China have?,3,2,1,4,1
918463,General Knowledge,Geography,Easy,600,Which country does Austria not border?,France,Switzerland,Slovenia,Slovakia,France
918463,General Knowledge,Geography,Easy,600,Harvard University is located in which city?,New York,Providence,Cambridge,Washington D.C.,Cambridge
918463,General Knowledge,Geography,Easy,600,What is the Polish city known to Germans as Danzig?,Gdańsk,Zakopane,Warsaw,Poznań,Gdańsk
918463,General Knowledge,Geography,Easy,600,Which country was NOT part of the Soviet Union?,Tajikistan,Turkmenistan,Belarus,Romania,Romania
918463,General Knowledge,Geography,Easy,600,Which of these is the name of the largest city in the US state Tennessee?,Thebes,Memphis,Alexandria,Luxor,Memphis
918463,General Knowledge,Geography,Easy,600,"What is the largest country, by area, that has only one time zone?",Canada,Russia,India,China,China
918463,General Knowledge,Geography,Easy,600,How many federal states does Germany have?,16,32,13,25,16
