QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
905665,"AI, Ethics & Future",Tech & Society,Easy,600,What does 'AI' stand for?,Artificial Intelligence,Automated Information,Applied Innovation,Analog Input,Artificial Intelligence
905665,"AI, Ethics & Future",Tech & Society,Easy,600,Which of the following is a commonly discussed ethical concern related to AI?,Battery life,Bias in decision-making,Screen resolution,System updates,Bias in decision-making
905665,"AI, Ethics & Future",Tech & Society,Easy,600,Who is affected by AI's influence on job automation?,Only scientists,Everyone in society,Only politicians,Only artists,Everyone in society
905665,"AI, Ethics & Future",Tech & Society,Easy,600,Which is one way AI can help society positively?,Causing traffic jams,Improving medical diagnoses,Increasing unemployment,Spreading misinformation,Improving medical diagnoses
905665,"AI, Ethics & Future",Tech & Society,Easy,600,What is one risk of using AI in facial recognition technology?,Faster charging,Privacy invasion,Better camera quality,Longer battery life,Privacy invasion
905665,"AI, Ethics & Future",Tech & Society,Easy,600,Which group should be considered when making ethical decisions about AI,Only programmers,All stakeholders,Only government officials,Only teenagers,All stakeholders
905665,"AI, Ethics & Future",Tech & Society,Easy,600,What is a 'future concern' related to AI?,Language barriers,Human job displacement,Water pollution,None of the above,Human job displacement
905665,"AI, Ethics & Future",Tech & Society,Easy,600,Why is transparency important in AI systems?,It makes computers faster,It helps users trust decisions,It protects passwords,It is required for WiFi,It helps users trust decisions
905665,"AI, Ethics & Future",Tech & Society,Easy,600,Which concept helps ensure AI acts responsibly?,Accountability,Animation,Acceleration,Amplification,Accountability
905665,"AI, Ethics & Future",Tech & Society,Easy,600,AI can sometimes unintentionally reinforce negative stereotypes through what?,Unbiased data,Machine bias,Random selection,Open forums,Machine bias
