QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
549016,General Knowledge,Economics,Hard,1200,"According to the Heckscher-Ohlin model, what is the primary determinant of comparative advantage in international trade?",Labor productivity differences,Technological disparities,Relative factor endowments,Exchange rate fluctuations,Relative factor endowments
549016,General Knowledge,Economics,Hard,1200,"In the context of game theory, what does the 'Folk Theorem' primarily establish about repeated games?",Nash equilibrium always exists in finite games,Cooperative outcomes can be sustained through trigger strategies,Mixed strategies dominate pure strategies,Zero-sum games have predictable outcomes,Cooperative outcomes can be sustained through trigger strategies
549016,General Knowledge,Economics,Hard,1200,"Which phenomenon describes the situation where government intervention in markets leads to inefficient resource allocation, as formalized by Anne Krueger?",Dutch disease,Rent-seeking,Crowding out effect,Liquidity trap,Rent-seeking
549016,General Knowledge,Economics,Hard,1200,What does the Modigliani-Miller theorem state under perfect market assumptions?,Dividend policy affects firm valuation,Capital structure is irrelevant to firm value,Leverage increases weighted average cost of capital,Equity financing is always preferable to debt,Capital structure is irrelevant to firm value
549016,General Knowledge,Economics,Hard,1200,"In monetary economics, what is the 'Taylor rule' primarily used for?",Calculating currency exchange rates,Setting central bank interest rates based on inflation and output gaps,Determining optimal tax rates,Regulating bank reserve requirements,Setting central bank interest rates based on inflation and output gaps
549016,General Knowledge,Economics,Hard,1200,Which concept describes the tendency for technological progress to eliminate low-skilled jobs faster than new ones are created?,Baumol's cost disease,Luddite fallacy,Skill-biased technological change,Creative destruction,Skill-biased technological change
549016,General Knowledge,Economics,Hard,1200,What does the 'J-curve effect' illustrate in international economics?,Short-term worsening of trade balance after currency depreciation,Long-term relationship between inflation and unemployment,Impact of FDI on economic development,Cyclical nature of commodity prices,Short-term worsening of trade balance after currency depreciation
549016,General Knowledge,Economics,Hard,1200,"According to the Coase theorem, when will private bargaining lead to efficient outcomes regardless of initial property rights?",When transaction costs are zero,When markets are perfectly competitive,When externalities are positive,When property rights are clearly defined,When transaction costs are zero
549016,General Knowledge,Economics,Hard,1200,What is the primary criticism of the 'Lucas critique' regarding econometric policy evaluation?,It ignores income distribution effects,It fails to account for rational expectations changing structural parameters,It overemphasizes historical data reliability,It underestimates fiscal multiplier effects,It fails to account for rational expectations changing structural parameters
549016,General Knowledge,Economics,Hard,1200,Which paradox describes the observation that countries with abundant natural resources often experience slower economic growth?,Leontief paradox,Resource curse,Triffin dilemma,Gibson's paradox,Resource curse
