QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
238947,Academic & Education,Social Sciences,Easy,600,What field of study primarily focuses on human society and social relationships?,Natural Sciences,Physical Sciences,Social Sciences,Computer Sciences,Social Sciences
238947,Academic & Education,Social Sciences,Easy,600,Which social science is concerned with the study of human mind and behavior?,Economics,Sociology,Psychology,Political Science,Psychology
238947,Academic & Education,Social Sciences,Easy,600,The study of how societies use scarce resources to satisfy unlimited wants and needs is known as:,History,Economics,Anthropology,Geography,Economics
238947,Academic & Education,Social Sciences,Easy,600,"Which social science examines human societies, their interactions, and the processes that preserve and change them?",Physics,Chemistry,Biology,Sociology,Sociology
238947,Academic & Education,Social Sciences,Easy,600,"The study of government, public policies, political processes, and political behavior is the domain of which social science?",Political Science,Linguistics,Art History,Geology,Political Science
238947,Academic & Education,Social Sciences,Easy,600,"Which term refers to the shared customs, arts, social institutions, and achievements of a particular nation, people, or group?",Geography,Mathematics,Culture,Biology,Culture
238947,Academic & Education,Social Sciences,Easy,600,A historian primarily studies which of the following?,The future,The past,Outer space,Chemical reactions,The past
238947,Academic & Education,Social Sciences,Easy,600,"Which social science often involves the study of human origins, societies, and cultures, often through fieldwork?",Astronomy,Anthropology,Computer Science,Engineering,Anthropology
238947,Academic & Education,Social Sciences,Easy,600,One of the main goals of social sciences is to:,Discover new elements on the periodic table,Understand human behavior and societal structures,Design new software applications,Forecast weather patterns,Understand human behavior and societal structures
238947,Academic & Education,Social Sciences,Easy,600,Which of these is a common social institution found in almost all societies?,Rocks,The family,Clouds,Mountains,The family
