QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
850882,Gaming,Esports Tournaments,Hard,1200,Which of the following esports tournaments is known for having one of the largest prize pools?,The International (Dota 2),League of Legends World Championship,Fortnite World Cup,CS:GO Major Championships,The International (Dota 2)
850882,Gaming,Esports Tournaments,Hard,1200,What is the name of the most prestigious tournament in the Overwatch esports scene?,Overwatch World Cup,Overwatch League Grand Finals,Overwatch Contenders,OWL Championship,Overwatch League Grand Finals
850882,Gaming,Esports Tournaments,Hard,1200,In what year was the first League of Legends World Championship held?,2010,2011,2012,2013,2011
850882,Gaming,Esports Tournaments,Hard,1200,Which team has won the most League of Legends World Championship titles?,T1,G2 Esports,Fnatic,SK Telecom T1,T1
850882,Gaming,Esports Tournaments,Hard,1200,What is the name of the governing body for esports in South Korea?,KeSPA,ESL,IESA,WESG,KeSPA
850882,Gaming,Esports Tournaments,Hard,1200,Which esports tournament is held annually in Blizzard's Anaheim Convention Center?,BlizzCon,EVO Championship Series,The International,PAX East,BlizzCon
850882,Gaming,Esports Tournaments,Hard,1200,Which of the following games has been featured in the Esports World Championships?,Street Fighter V,Super Smash Bros. Melee,Hearthstone,All of the above,All of the above
850882,Gaming,Esports Tournaments,Hard,1200,The CS:GO Major Championships are sponsored by which company?,Valve Corporation,Electronic Arts,Activision,Major League Gaming,Valve Corporation
850882,Gaming,Esports Tournaments,Hard,1200,The Fortnite World Cup is held annually by which company?,Epic Games,Activision,Rockstar Games,Tencent Holdings,Epic Games
850882,Gaming,Esports Tournaments,Hard,1200,In which city was the inaugural Overwatch League Grand Finals held?,New York City,Los Angeles,Busan,Seattle,Busan
