QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
334647,"AI, Ethics & Future",Future of Work,Hard,1200,Which ethical concept is most directly challenged by widespread use of AI-driven employee surveillance systems in the workplace?,Autonomy,Justice,Beneficence,Accountability,Autonomy
334647,"AI, Ethics & Future",Future of Work,Hard,1200,"In the context of AI hiring tools, what practice is essential to mitigate bias in algorithmic decision-making?",Limiting human involvement,Using transfer learning exclusively,Regular auditing and transparency,Maximizing training data size,Regular auditing and transparency
334647,"AI, Ethics & Future",Future of Work,Hard,1200,Which profession is LEAST likely to be automated by AI according to recent studies on the future of work?,Truck driving,Telemarketing,Elementary school teaching,Retail cashier,Elementary school teaching
334647,"AI, Ethics & Future",Future of Work,Hard,1200,What global policy initiative has been proposed to address economic disruption caused by AI-driven automation?,Universal Basic Income,Digital Payroll Tax,Mandatory Algorithm Licensing,Renewable Skills Certification,Universal Basic Income
334647,"AI, Ethics & Future",Future of Work,Hard,1200,Which term best describes the responsibility of organizations to ensure AI decisions align with moral and societal values?,Algorithmic fairness,Technological determinism,Ethical stewardship,Data sovereignty,Ethical stewardship
334647,"AI, Ethics & Future",Future of Work,Hard,1200,Which global standard is most frequently referenced for guiding ethical AI development in workplaces?,ISO 27001,OECD Principles on AI,GDPR,HIPAA,OECD Principles on AI
334647,"AI, Ethics & Future",Future of Work,Hard,1200,What is the primary ethical concern associated with AI-powered performance management systems?,Work-life balance disruption,Inaccurate automated feedback,Privacy infringement,Increased productivity pressure,Privacy infringement
334647,"AI, Ethics & Future",Future of Work,Hard,1200,Which philosophical approach focuses on maximizing the overall good in AI-driven workplace policy decisions?,Virtue ethics,Utilitarianism,Deontological ethics,Relativism,Utilitarianism
334647,"AI, Ethics & Future",Future of Work,Hard,1200,What is the term for unfair outcomes created when AI systems reinforce historical workplace prejudices?,Automation bias,Algorithmic bias,Invisible hand,Technological inertia,Algorithmic bias
334647,"AI, Ethics & Future",Future of Work,Hard,1200,How can organizations promote ethical AI adoption while enabling innovation in the future of work?,Ignoring regulatory frameworks,Implementing accountable governance models,Outsourcing AI development,Prioritizing profit over ethics,Implementing accountable governance models
