QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
262117,Gaming,Esports Tournaments,Easy,600,What is the main purpose of an Esports tournament?,To play casual games,To compete against other teams for a prize,To test new game updates,To socialize with other gamers,To compete against other teams for a prize
262117,Gaming,Esports Tournaments,Easy,600,Which of the following is a popular Esports game?,Minecraft,League of Legends,Among Us,PlayerUnknown's Battlegrounds,League of Legends
262117,Gaming,Esports Tournaments,Easy,600,What is a 'tournament bracket' used for in Esports?,To display team logos,To schedule matches between teams,To track player statistics,To announce tournament winners,To schedule matches between teams
262117,Gaming,Esports Tournaments,Easy,600,What is 'prize pooling' in Esports tournaments?,The process of deciding the tournament schedule,The method of determining the winner of a match,The collection of prize money from various sources,The act of awarding the prize to the winners,The collection of prize money from various sources
262117,Gaming,Esports Tournaments,Easy,600,Which Esports tournament is known for having one of the largest prize pools?,The International,League of Legends World Championship,Fortnite World Cup,CS:GO Major,The International
262117,Gaming,Esports Tournaments,Easy,600,What does 'seeding' refer to in the context of Esports tournaments?,The process of randomly assigning teams to a bracket,The ranking of teams based on their past performance,The act of eliminating teams from the tournament,The method of determining the tournament winner,The ranking of teams based on their past performance
262117,Gaming,Esports Tournaments,Easy,600,"In Esports, what is a 'LAN tournament'?",A tournament held online,A tournament held in a large arena,A tournament where teams compete in the same physical location,A tournament with a small prize pool,A tournament where teams compete in the same physical location
262117,Gaming,Esports Tournaments,Easy,600,What is the role of a 'tournament organizer' in Esports?,To participate in the tournament as a player,To spectate and cheer for teams,To manage and coordinate the tournament,To commentate on the matches,To manage and coordinate the tournament
262117,Gaming,Esports Tournaments,Easy,600,Which of the following is NOT a common format for Esports tournaments?,Single-elimination,Round-robin,Group stage followed by playoffs,Free-for-all,Free-for-all
262117,Gaming,Esports Tournaments,Easy,600,What is the significance of 'qualifier tournaments' in Esports?,They are the main event of the Esports calendar,They determine the teams that qualify for a larger tournament,They are used to test new game updates,They are held after the main tournament,They determine the teams that qualify for a larger tournament
