QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
333607,Gaming,PC & Console Games,Hard,1200,"In ""Final Fantasy VI"", what is the name of (summoned) Gilgamesh's weakest attack?",Excalisore,Excalisnore,Excalipoor,Excalibore,Excalipoor
333607,Gaming,PC & Console Games,Hard,1200,Where are Terror Fiends more commonly found in the Nintendo game Miitopia?,Otherworld,Peculia,The Sky Scraper,New Lumos,New Lumos
333607,Gaming,PC & Console Games,Hard,1200,What programming language does the Source Engine use?,C++ ,Lua,Java,Python,C++ 
333607,Gaming,PC & Console Games,Hard,1200,How many voice channels does the Nintendo Entertainment System support natively?,5,3,6,4,5
333607,Gaming,PC & Console Games,Hard,1200,"Before Super Smash Bros. contained Nintendo characters, what was it known as internally?",Dragon King: The Fighting Game,Smash and Pummel,Contest of Champions,Fighter of the Ages: Conquest,Dragon King: The Fighting Game
333607,Gaming,PC & Console Games,Hard,1200,"In the ""Halo"" series, what is the name of the race of aliens humans refer to as ""Grunts""?",Sangheili,Unggoy,Huragok,Yanme'e,Unggoy
333607,Gaming,PC & Console Games,Hard,1200,What was the name of the hero in the 80s animated video game 'Dragon's Lair'?,Dirk the Daring,Sir Toby Belch,Guy of Gisbourne,Arthur,Dirk the Daring
333607,Gaming,PC & Console Games,Hard,1200,"Which day in ""Papers, Please"" does the man in red appear?",Day 20,Day 23,Day 17,Day 15,Day 23
333607,Gaming,PC & Console Games,Hard,1200,"In ""Sonic the Hedgehog 2"" for the Sega Genesis, what do you input in the sound test screen to access the secret level select?","The first release date of ""Sonic the Hedgehog 2""",The date Sonic Team was founded,"The first release date of ""Sonic the Hedgehog""",The Lead Programmer's birthday,The Lead Programmer's birthday
333607,Gaming,PC & Console Games,Hard,1200,"Who is the victim mentioned in the second KG-8 incident, in Ace attorney Investigations, Case 4?",Shey De Killer,Frank Sahwit,Deid Mann,Raymond Shields,Deid Mann
