QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
134073,"AI, Ethics & Future",AI Ethics,Medium,900,What is the primary concern with the use of biased AI systems?,Inefficient use of computational resources,Lack of transparency in decision-making processes,Perpetuation of existing social inequalities,Insufficient data for training models,OptionC
134073,"AI, Ethics & Future",AI Ethics,Medium,900,Which of the following is NOT a principle of human-centered AI design?,Fairness,Transparency,Accountability,Profitability,OptionD
134073,"AI, Ethics & Future",AI Ethics,Medium,900,What is the term for the unintended negative consequences of AI systems on society?,AI bias,AI safety,AI impact,AI externality,OptionD
134073,"AI, Ethics & Future",AI Ethics,Medium,900,Which of the following AI ethics frameworks emphasizes the importance of human well-being and dignity?, Utilitarianism,Deontology,Virtue Ethics,Human-Centered AI,OptionD
134073,"AI, Ethics & Future",AI Ethics,Medium,900,What is the primary goal of Explainable AI (XAI) research?,To improve AI model accuracy,To reduce AI model complexity,To increase trust in AI decision-making,To decrease AI model training time,OptionC
134073,"AI, Ethics & Future",AI Ethics,Medium,900,Which of the following is a challenge in implementing AI ethics in real-world applications?,Lack of technical expertise,Insufficient data for training models,Competeting priorities and trade-offs,All of the above,OptionD
134073,"AI, Ethics & Future",AI Ethics,Medium,900,What is the term for the process of identifying and mitigating potential negative consequences of AI systems?,AI risk assessment,AI impact assessment,AI ethics review,AI safety evaluation,OptionB
134073,"AI, Ethics & Future",AI Ethics,Medium,900,Which of the following is NOT a benefit of implementing AI ethics in organizations?,Improved public trust,Increased regulatory compliance,Enhanced brand reputation,Reduced profitability,OptionD
134073,"AI, Ethics & Future",AI Ethics,Medium,900,What is the primary focus of the field of AI for Social Good?,Using AI to maximize profits,Using AI to improve human well-being,Using AI to replace human workers,Using AI to reduce environmental impact,OptionB
134073,"AI, Ethics & Future",AI Ethics,Medium,900,Which of the following is a challenge in ensuring transparency in AI decision-making processes?,Complexity of AI models,Lack of data for training models,Insufficient regulatory oversight,All of the above,OptionD
