QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
994436,Health & Medicine,Public Health,Medium,900,What is the primary goal of epidemiology in public health?,To develop new treatments for diseases,To study the distribution and determinants of health-related events,To provide medical care to individuals,To conduct clinical trials for new medications,OptionB
994436,Health & Medicine,Public Health,Medium,900,Which of the following is a key component of the social determinants of health?,Access to healthcare services,Genetic predisposition to disease,Socioeconomic status,Climate change,OptionC
994436,Health & Medicine,Public Health,Medium,900,What is the term for the process of identifying and managing health risks at the population level?,Health promotion,Disease prevention,Risk assessment and management,Health education,OptionC
994436,Health & Medicine,Public Health,Medium,900,Which of the following public health strategies aims to prevent disease before it occurs?,Treatment and management of disease,Screening and early detection of disease,Primary prevention,Palliative care,OptionC
994436,Health & Medicine,Public Health,Medium,900,What is the name of the global health organization that coordinates international health efforts and sets global health policies?,World Health Organization (WHO),United Nations Children's Fund (UNICEF),Centers for Disease Control and Prevention (CDC),Pan American Health Organization (PAHO),OptionA
994436,Health & Medicine,Public Health,Medium,900,Which of the following is an example of a health disparity?,Differences in health outcomes between men and women,Differences in health outcomes between people of different ages,Differences in health outcomes between people of different racial and ethnic groups,Differences in health outcomes between people of different socioeconomic statuses,OptionC
994436,Health & Medicine,Public Health,Medium,900,What is the term for the study of the relationship between environmental factors and human health?,Epidemiology,Toxicology,Environmental health,Occupational health,OptionC
994436,Health & Medicine,Public Health,Medium,900,Which of the following is a key principle of health education?,Providing information without considering the individual's cultural background,Focusing on individual behavior change without considering the social and environmental context,Empowering individuals to take control of their health through informed decision-making,Using fear and intimidation to motivate behavior change,OptionC
994436,Health & Medicine,Public Health,Medium,900,"What is the term for the process of planning, implementing, and evaluating public health programs?",Program management,Public health practice,Health planning,Evaluation research,OptionB
994436,Health & Medicine,Public Health,Medium,900,Which of the following is an example of a secondary prevention strategy?,Vaccination against infectious diseases,Screening for breast cancer using mammography,Treatment of hypertension with medication,Promotion of healthy eating habits through education,OptionB
